NPartida,Time,Apelido,Momento
132,Cruzeiro Saf - MG,Filipe Machado,45+3' (1ºT)
133,Palmeiras - SP,Dudu,23' (1ºT)
133,Flamengo - RJ,De Arrascaeta,35' (2ºT)
134,Santos - SP,Mendoza,45' (1ºT)
134,Santos - SP,Mendoza,45+3' (2ºT)
134,Santos - SP,Marcos Leonardo,15' (1ºT)
134,Santos - SP,Marcos Leonardo,29' (1ºT)
134,Goiás - GO,Guilherme,39' (1ºT)
134,Goiás - GO,Guilherme,15' (2ºT)
134,Goiás - GO,Joao,35' (2ºT)
136,Corinthians - SP,Roger Guedes,40' (1ºT)
137,Botafogo - RJ,Carlos Alberto,41' (2ºT)
137,Botafogo - RJ,Carlos,29' (2ºT)
138,Coritiba S.a.f. - PR,Robson,43' (1ºT)
138,Coritiba S.a.f. - PR,Alef Manga,39' (1ºT)
138,Coritiba S.a.f. - PR,Victor,45+6' (2ºT)
138,America Saf - MG,Juninho,7' (1ºT)
139,Fortaleza - CE,Yago,38' (2ºT)
140,Cuiabá Saf - MT,ALAN,5' (2ºT)
140,Cuiabá Saf - MT,Deyverson,17' (1ºT)
142,Botafogo - RJ,Di Placido,15' (2ºT)
142,Botafogo - RJ,Carlos,2' (2ºT)
143,São Paulo - SP,Calleri,21' (1ºT)
143,São Paulo - SP,Calleri,45+1' (1ºT)
143,São Paulo - SP,David,34' (2ºT)
143,São Paulo - SP,Alexandre Pato,43' (2ºT)
143,Santos - SP,Marcos Leonardo,45+3' (2ºT)
144,Corinthians - SP,Fabio Santos,44' (1ºT)
144,Corinthians - SP,Giuliano,22' (2ºT)
144,Corinthians - SP,Lucas Verissimo,45+4' (1ºT)
144,Corinthians - SP,Yuri Alberto,45+5' (1ºT)
144,Grêmio - RS,Suarez,13' (2ºT)
144,Grêmio - RS,Nathan,20' (1ºT)
144,Grêmio - RS,Galdino,5' (2ºT)
144,Grêmio - RS,Cristaldo,26' (1ºT)
148,Athletico Paranaense - PR,Vitor Roque,23' (1ºT)
148,Athletico Paranaense - PR,Erick,34' (1ºT)
149,Cuiabá Saf - MT,Deyverson,18' (1ºT)
150,Vasco da Gama S.a.f. - RJ,Jair,45+2' (2ºT)
151,Flamengo - RJ,Victor Hugo,45+4' (2ºT)
151,America Saf - MG,Felipe Azevedo,39' (2ºT)
152,Athletico Paranaense - PR,Christian,25' (2ºT)
152,Athletico Paranaense - PR,Vitor Bueno,34' (2ºT)
153,Palmeiras - SP,Breno,45+5' (2ºT)
153,Palmeiras - SP,Richard Rios,7' (1ºT)
153,Palmeiras - SP,Raphael Veiga,35' (2ºT)
153,Fortaleza - CE,Lucero,44' (1ºT)
154,Santos - SP,Marcos Leonardo,23' (1ºT)
154,Santos - SP,Marcos Leonardo,36' (2ºT)
154,Botafogo - RJ,Tiquinho,38' (2ºT)
154,Botafogo - RJ,Adryelson,42' (2ºT)
156,Goiás - GO,Joao,27' (1ºT)
157,Grêmio - RS,Ronald,10' (1ºT)
158,Coritiba S.a.f. - PR,Diogo,27' (1ºT)
158,Coritiba S.a.f. - PR,Robson,23' (1ºT)
160,Cuiabá Saf - MT,PITTA,32' (2ºT)
160,Cuiabá Saf - MT,Clayson,20' (2ºT)
160,São Paulo - SP,Nathan,45+4' (2ºT)
161,Fluminense - RJ,German Cano,32' (2ºT)
162,Botafogo - RJ,Tiquinho,36' (1ºT)
162,Botafogo - RJ,Tiquinho,5' (2ºT)
162,Botafogo - RJ,Gustavo,2' (1ºT)
162,Botafogo - RJ,Gustavo,45+3' (1ºT)
