NPartida,Time,Substituido,Substituto
123,Fluminense - RJ,Gabriel Pirani,Lelê
123,Fluminense - RJ,Felipe Melo,Felipe Andrade
123,Fluminense - RJ,Marcelo,Guga
123,Fluminense - RJ,Keno,John Kennedy
124,Corinthians - SP,Maycon,Matheus Araujo
124,Corinthians - SP,Moscardo,Roni
124,Corinthians - SP,Yuri Alberto,Felipe Augusto
124,Corinthians - SP,Matheus Bidu,Caetano
124,Corinthians - SP,Guilherme Biro,Wesley
124,Red Bull Bragantino - SP,Eduardo Sasha,Alerrandro
124,Red Bull Bragantino - SP,Matheus Fernandes,Guilherme
124,Red Bull Bragantino - SP,Eric Ramires,Gustavinho
124,Red Bull Bragantino - SP,Thiago Borbas,Sorriso
125,Goiás - GO,Willian Oliveira,Morelli
125,Goiás - GO,Guilherme,Apodi
125,Goiás - GO,Alesson,Julian
125,Goiás - GO,Matheus Peixoto,Philippe
125,Goiás - GO,Matheus,Vinicius
126,Atlético Mineiro - MG,Pavon,Vargas
126,Atlético Mineiro - MG,Zaracho,Patrick
126,Atlético Mineiro - MG,Igor Gomes,Alan Kardec
126,America Saf - MG,Aloisio,Gonzalo Mastriani
126,America Saf - MG,Felipe Azevedo,Rodrigo Varanda
126,America Saf - MG,Marcinho,Marlon
126,America Saf - MG,Lucas,Wanderson
126,America Saf - MG,Breno Lemos,Martin Benitez
127,Internacional - RS,Luiz Adriano,Alexandre
127,Internacional - RS,Joao Lucas,Carlos de Pena
127,Internacional - RS,Mauricio,Aranguiz
127,Internacional - RS,Alan Patrick,Jean Dias
127,Cruzeiro Saf - MG,Stênio,Neris
127,Cruzeiro Saf - MG,Bruno Rodrigues,Henrique Dourado
127,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Neto
128,Athletico Paranaense - PR,Khellven,Madson
128,Athletico Paranaense - PR,Hugo Moura,Alex Santana
128,Athletico Paranaense - PR,Ze Ivaldo,Marcelo Cirino
128,Athletico Paranaense - PR,Canobbio,David Terans
128,Athletico Paranaense - PR,Christian,Cuello
128,Palmeiras - SP,Luis Guilherme,Fabinho
128,Palmeiras - SP,Richard Rios,Gabriel Menino
128,Palmeiras - SP,Breno,Mayke
128,Palmeiras - SP,Endrick,Rony
128,Palmeiras - SP,Kaiky,Luan Garcia
129,Bahia - BA,Rezende,Diego Rosa
129,Bahia - BA,Kayky Chagas,Ademir
129,Bahia - BA,Mingotti,Everaldo
129,Bahia - BA,Ryan,Chavez
129,Bahia - BA,Thaciano,Mugni
129,Grêmio - RS,Carballo,Ferreira
129,Grêmio - RS,Cristaldo,Cuiabano
129,Grêmio - RS,Suarez,Vina
130,Cuiabá Saf - MT,Raniele,Filipe Augusto
130,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Ronald
130,Cuiabá Saf - MT,Cafu,Emerson
130,Cuiabá Saf - MT,Iury,Wellington Silva
130,Cuiabá Saf - MT,Deyverson,PITTA
130,Santos - SP,Dodi,Sandry
130,Santos - SP,Gabriel,Kevyson
130,Santos - SP,Joao,Cadu Silva
130,Santos - SP,Luan,Bruno Mezenga
130,Santos - SP,Lucas Lima,Lucas
131,Fluminense - RJ,Lelê,John Kennedy
131,Fluminense - RJ,Felipe Melo,David Braz
131,Internacional - RS,Carlos de Pena,Alexandre
131,Internacional - RS,Luiz Adriano,Lucca
131,Internacional - RS,WANDERSON,Jean Dias
131,Internacional - RS,Valencia,Aranguiz
131,Internacional - RS,Gustavo,Matheus
132,Vasco da Gama S.a.f. - RJ,Orellano,Alex Teixeira
132,Vasco da Gama S.a.f. - RJ,Erick Marcus,Rayan
132,Vasco da Gama S.a.f. - RJ,Mateus Carvalho,Carabajal
132,Vasco da Gama S.a.f. - RJ,Marlon Gomes,Jair
132,Vasco da Gama S.a.f. - RJ,Serginho,Pedro Raul
132,Cruzeiro Saf - MG,Stênio,Robert
132,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Neto
132,Cruzeiro Saf - MG,Kaiki Bruno,Paulo Vitor
132,Cruzeiro Saf - MG,Mateus,Gilberto
133,Palmeiras - SP,Artur,Murilo
133,Palmeiras - SP,Dudu,Endrick
133,Palmeiras - SP,Raphael Veiga,Luis Guilherme
133,Palmeiras - SP,Richard Rios,Kaiky
133,Palmeiras - SP,Gabriel Menino,Fabinho
133,Flamengo - RJ,Everton,De Arrascaeta
133,Flamengo - RJ,Pedro,Matheus França
133,Flamengo - RJ,Victor Hugo,Bruno Henrique
133,Flamengo - RJ,Luiz,Éverton Ribeiro
134,Santos - SP,Lucas,Luiz Felipe
134,Santos - SP,Lucas Lima,Luan
134,Santos - SP,Sandry,Vinicius
134,Santos - SP,Marcos Leonardo,Bruno Mezenga
134,Goiás - GO,Diego,Alesson
134,Goiás - GO,Anderson,Matheus
134,Goiás - GO,Zé Ricardo,Joao
134,Goiás - GO,Julian,Luis
134,Goiás - GO,Willian Oliveira,Morelli
135,Red Bull Bragantino - SP,Eduardo,Natan
135,Red Bull Bragantino - SP,Eric Ramires,Bruninho
135,Red Bull Bragantino - SP,Jadsom Silva,Andres Hurtado
135,Red Bull Bragantino - SP,Sorriso,Luan Candido
135,Red Bull Bragantino - SP,Eduardo Sasha,Thiago Borbas
135,São Paulo - SP,Michel Araujo,RODRIGUINHO
135,São Paulo - SP,David,Alexandre Pato
135,São Paulo - SP,Matheus,Arboleda
135,São Paulo - SP,Alisson,Rodrigo Nestor
135,São Paulo - SP,Marcos Paulo,Wellington Rato
136,Atlético Mineiro - MG,Guilherme Arana,Rubens
136,Atlético Mineiro - MG,Alan Kardec,Vargas
136,Atlético Mineiro - MG,Mariano,Pedrinho
136,Atlético Mineiro - MG,Edenilson,Renzo Saravia
136,Atlético Mineiro - MG,Igor Gomes,Alisson Santana
136,Corinthians - SP,Roger Guedes,Adson
136,Corinthians - SP,Yuri Alberto,Felipe Augusto
136,Corinthians - SP,Fausto,Giuliano
136,Corinthians - SP,RUAN,Renato Augusto
136,Corinthians - SP,Moscardo,Maycon
137,Grêmio - RS,Carballo,Cuiabano
137,Grêmio - RS,Cristaldo,Ferreira
137,Grêmio - RS,Bitello,Nathan
137,Grêmio - RS,Kannemann,Vina
137,Grêmio - RS,Suarez,Andre
137,Botafogo - RJ,Hugo,Marcal
137,Botafogo - RJ,Junior,Matias Segovia
137,Botafogo - RJ,Tche Tche,Breno
137,Botafogo - RJ,Tiquinho,Carlos Alberto
137,Botafogo - RJ,Carlos,Danilo
138,Coritiba S.a.f. - PR,Rodrigo,Gabriel
138,Coritiba S.a.f. - PR,Marcelino Moreno,Kaio Lima
138,Coritiba S.a.f. - PR,Fransergio,Victor
138,America Saf - MG,Lucas,Breno Lemos
138,America Saf - MG,Marlon,Daniel Borges
138,America Saf - MG,Juninho,Matheusinho
138,America Saf - MG,Everaldo,Pedrinho
138,America Saf - MG,H. Almeida,Wellington Paulista
139,Fortaleza - CE,Pochettino,Calebe
139,Fortaleza - CE,Lucero,Guilherme Augusto
139,Fortaleza - CE,HERCULES,Welison
139,Fortaleza - CE,Marinho,Yago
139,Athletico Paranaense - PR,Vinícius Kauê,Lucas Esquivel
139,Athletico Paranaense - PR,Khellven,Christian
139,Athletico Paranaense - PR,Ze Ivaldo,Pedro Henrique
139,Athletico Paranaense - PR,Cittadini,Marcelo Cirino
139,Athletico Paranaense - PR,Luciano Arriagada,Willian
140,Cuiabá Saf - MT,Iury,Clayson
140,Cuiabá Saf - MT,Cafu,Emerson
140,Cuiabá Saf - MT,Denilson,Fernando
140,Cuiabá Saf - MT,RIKELME,Uendel
140,Bahia - BA,Vitor Hugo,Ademir
140,Bahia - BA,Mingotti,Everaldo
140,Bahia - BA,Kayky Chagas,Patrick Verhon
140,Bahia - BA,Chavez,Ryan
140,Bahia - BA,Mugni,Rezende
141,Fluminense - RJ,Marcelo,Felipe Andrade
141,Fluminense - RJ,Felipe Melo,John Kennedy
141,Fluminense - RJ,PH GANSO,Leo Fernandez
141,Fluminense - RJ,Martinelli,Lelê
141,Flamengo - RJ,Éverton Ribeiro,Victor Hugo
141,Flamengo - RJ,David Luiz,Pablo
141,Flamengo - RJ,Everton,Allan
141,Flamengo - RJ,De Arrascaeta,Andre
141,Flamengo - RJ,Thiago Maia,Luiz
142,Botafogo - RJ,Luis Henrique,Carlos Alberto
142,Botafogo - RJ,Junior,Matias Segovia
142,Botafogo - RJ,Tche Tche,Danilo
142,Botafogo - RJ,Tiquinho,Janderson
142,Botafogo - RJ,Carlos,Gustavo
142,Red Bull Bragantino - SP,Bruninho,Sorriso
142,Red Bull Bragantino - SP,Evangelista,Thiago Borbas
143,São Paulo - SP,Alisson,Rodrigo Nestor
143,São Paulo - SP,Calleri,David
143,São Paulo - SP,Welington,Caio Paulista
143,São Paulo - SP,Juan,Alexandre Pato
143,São Paulo - SP,Luciano,Erison
143,Santos - SP,Lucas,Weslley
143,Santos - SP,Lucas Lima,Deivid Washington
143,Santos - SP,Messias,Vinicius
143,Santos - SP,Sandry,Camacho
144,Corinthians - SP,Moscardo,Giuliano
144,Corinthians - SP,Matias Rojas,Mosquito
144,Corinthians - SP,Maycon,Cantillo
144,Corinthians - SP,Pedrinho,Wesley
144,Grêmio - RS,Joao Pedro,Andre
144,Grêmio - RS,Suarez,Luan
144,Grêmio - RS,Nathan,Galdino
144,Grêmio - RS,Cristaldo,Ferreira
145,Goiás - GO,Anderson,Matheus Peixoto
145,Goiás - GO,Vinicius,Vinicius
145,Goiás - GO,Joao,Diego
145,Goiás - GO,Luis,Allano
145,Atlético Mineiro - MG,Edenilson,Pedrinho
145,Atlético Mineiro - MG,Paulinho,Vargas
145,Atlético Mineiro - MG,Igor Gomes,Patrick
146,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Paulo Vitor
146,Cruzeiro Saf - MG,Palacios,Stênio
146,Cruzeiro Saf - MG,Neris,Lucas Oliveira
146,Cruzeiro Saf - MG,Matheus,Wallisson
146,Cruzeiro Saf - MG,Robert,Gilberto
146,Coritiba S.a.f. - PR,Matheus,Fransergio
146,Coritiba S.a.f. - PR,Jamerson,Victor
146,Coritiba S.a.f. - PR,Kaio Lima,Andrey
146,Coritiba S.a.f. - PR,Robson,Diogo Batista
146,Coritiba S.a.f. - PR,Rodrigo,Edu
147,Internacional - RS,Romulo,Luiz Adriano
147,Internacional - RS,WANDERSON,Lucca
147,Internacional - RS,Aranguiz,Gustavo
147,Internacional - RS,Valencia,Gabriel
147,Internacional - RS,Gabriel Mercado,Nicolas Hernandez
147,Palmeiras - SP,Lopez,Endrick
147,Palmeiras - SP,Gabriel Menino,Richard Rios
147,Palmeiras - SP,Raphael Veiga,Breno
148,Athletico Paranaense - PR,Fernandinho,Hugo Moura
148,Athletico Paranaense - PR,Vitor Roque,Pablo
148,Athletico Paranaense - PR,Vitor Bueno,VIDAL
148,Athletico Paranaense - PR,Canobbio,Cuello
148,Athletico Paranaense - PR,Khellven,Madson
148,Bahia - BA,Cicinho,André Dhominique
148,Bahia - BA,Ryan,Matheus Bahia
148,Bahia - BA,Acevedo,Yago Felipe
148,Bahia - BA,Kayky Chagas,Mugni
149,Fortaleza - CE,Bruno Pacheco,Guilherme Augusto
149,Fortaleza - CE,Pochettino,Calebe
149,Fortaleza - CE,Caio,Lucas Crispim
149,Fortaleza - CE,Marinho,Yago
149,Fortaleza - CE,Thiago Galhardo,Silvio Romero
149,Cuiabá Saf - MT,Raniele,Filipe Augusto
149,Cuiabá Saf - MT,Fernando,Denilson
149,Cuiabá Saf - MT,Cafu,Iury
149,Cuiabá Saf - MT,Deyverson,PITTA
149,Cuiabá Saf - MT,Clayson,Wellington Silva
150,America Saf - MG,Breno Lemos,Cazares
150,America Saf - MG,Felipe Azevedo,Eder
150,America Saf - MG,Gonzalo Mastriani,Pedrinho
150,America Saf - MG,Nicolas,Marlon
150,America Saf - MG,Rodrigo Varanda,Javier Mendez
150,Vasco da Gama S.a.f. - RJ,Puma Rodriguez,Marlon Gomes
150,Vasco da Gama S.a.f. - RJ,Rossi,Serginho
150,Vasco da Gama S.a.f. - RJ,Zé Gabriel,Jair
150,Vasco da Gama S.a.f. - RJ,Praxedes,Sebastian Ferreira
150,Vasco da Gama S.a.f. - RJ,Payet,Gabriel Pec
151,Flamengo - RJ,Éverton Ribeiro,Victor Hugo
151,Flamengo - RJ,Bruno Henrique,Pedro
151,America Saf - MG,Martin Benitez,Juninho
151,America Saf - MG,Pedrinho,Felipe Azevedo
151,America Saf - MG,Gonzalo Mastriani,Matheusinho
151,America Saf - MG,Ale,Breno Lemos
151,America Saf - MG,Paulo,Rodrigo Varanda
152,Vasco da Gama S.a.f. - RJ,Jair,Carabajal
152,Vasco da Gama S.a.f. - RJ,Orellano,Rayan
152,Vasco da Gama S.a.f. - RJ,Figueiredo,Serginho
152,Vasco da Gama S.a.f. - RJ,Zé Gabriel,Marlon Gomes
152,Athletico Paranaense - PR,Christian,Pablo
152,Athletico Paranaense - PR,VIDAL,Vitor Bueno
152,Athletico Paranaense - PR,Canobbio,Cuello
152,Athletico Paranaense - PR,Vitor Roque,Hugo Moura
152,Athletico Paranaense - PR,Khellven,Madson
153,Palmeiras - SP,Artur,Breno
153,Palmeiras - SP,Richard Rios,Luis Guilherme
153,Palmeiras - SP,Raphael Veiga,Jailson
153,Palmeiras - SP,Jhon Jhon,Gabriel Menino
153,Palmeiras - SP,Marcos Rocha,Mayke
153,Fortaleza - CE,Christian,Romarinho
153,Fortaleza - CE,Yago,Lucas Crispim
153,Fortaleza - CE,Marinho,Guilherme Augusto
153,Fortaleza - CE,Lucas,Silvio Romero
153,Fortaleza - CE,Pochettino,Calebe
154,Santos - SP,Joao Paulo,Vladimir
154,Santos - SP,Dodo,Gabriel
154,Santos - SP,Jean,Luan
154,Santos - SP,Joao,Alex
154,Santos - SP,Marcos Leonardo,Deivid Washington
154,Botafogo - RJ,Danilo,Janderson
154,Botafogo - RJ,Tche Tche,Lucas
154,Botafogo - RJ,Luis Henrique,Joao Victor
154,Botafogo - RJ,Junior,Matias Segovia
154,Botafogo - RJ,Di Placido,Carlos Alberto
155,Red Bull Bragantino - SP,Eduardo Sasha,Gustavinho
155,Red Bull Bragantino - SP,Andres Hurtado,Léo Ortiz
155,Red Bull Bragantino - SP,Matheus Fernandes,Thiago Borbas
155,Red Bull Bragantino - SP,Sorriso,Bruninho
155,Internacional - RS,Carlos de Pena,Matheus
155,Internacional - RS,Aranguiz,Gustavo
156,Cruzeiro Saf - MG,Lucas Oliveira,Wallisson
156,Cruzeiro Saf - MG,Matheus,Neto
156,Cruzeiro Saf - MG,Mateus,Stênio
156,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Paulo Vitor
156,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
156,Goiás - GO,Guilherme,Allano
156,Goiás - GO,Anderson,Higor
156,Goiás - GO,Joao,Diego
156,Goiás - GO,Vinicius,Hugo
157,Grêmio - RS,Bitello,Mila
157,Grêmio - RS,Cristaldo,Iturbe
157,Grêmio - RS,Andre,Freddy
157,Grêmio - RS,Ronald,Ferreira
157,Atlético Mineiro - MG,Pavon,Alisson Santana
157,Atlético Mineiro - MG,Igor Gomes,Alan Kardec
157,Atlético Mineiro - MG,Rubens,Pedrinho
157,Atlético Mineiro - MG,Mariano,Renzo Saravia
158,Coritiba S.a.f. - PR,Andrey,Kaio Lima
158,Coritiba S.a.f. - PR,Marcelino Moreno,Diogo Batista
158,Coritiba S.a.f. - PR,Diogo,Rodrigo
158,Coritiba S.a.f. - PR,Matheus,Fransergio
158,Coritiba S.a.f. - PR,Robson,Victor
158,Fluminense - RJ,Jhon Arias,Yony Gonzalez
158,Fluminense - RJ,Keno,Isaac
158,Fluminense - RJ,Felipe Melo,Leo Fernandez
158,Fluminense - RJ,PH GANSO,John Kennedy
158,Fluminense - RJ,Diogo Barbosa,Daniel
159,Bahia - BA,Matheus Bahia,Ryan
159,Bahia - BA,Rezende,Yago Felipe
159,Bahia - BA,Everaldo,Mingotti
159,Bahia - BA,Gilberto,Cicinho
159,Corinthians - SP,Fabio Santos,Caetano
159,Corinthians - SP,Giuliano,Adson
159,Corinthians - SP,Fagner,RUAN
159,Corinthians - SP,Matias Rojas,Guilherme Biro
159,Corinthians - SP,Renato Augusto,Maycon
160,Cuiabá Saf - MT,Deyverson,PITTA
160,Cuiabá Saf - MT,Cafu,Wellington Silva
160,Cuiabá Saf - MT,Fernando,Ronald
160,Cuiabá Saf - MT,Denilson,Lucas
160,Cuiabá Saf - MT,Clayson,Iury
160,São Paulo - SP,Marcos Paulo,Luciano
160,São Paulo - SP,Luan Silva,Alisson
160,São Paulo - SP,Wellington Rato,Juan
160,São Paulo - SP,Rodrigo Nestor,Michel Araujo
160,São Paulo - SP,Calleri,Erison
161,Fluminense - RJ,Yony Gonzalez,Keno
161,Fluminense - RJ,Martinelli,David Braz
161,Fluminense - RJ,Marlon Santos,Lima
161,Fluminense - RJ,Leo Fernandez,PH GANSO
161,Santos - SP,Jean,Luan
161,Santos - SP,Joao,Gabriel
161,Santos - SP,Lucas Lima,Julio Furch
161,Santos - SP,Mendoza,Lucas
161,Santos - SP,Rodrigo,Camacho
162,Botafogo - RJ,Tche Tche,Danilo
162,Botafogo - RJ,Joao Victor,Junior
162,Botafogo - RJ,Tiquinho,Janderson
162,Botafogo - RJ,Gustavo,Matias Segovia
162,Botafogo - RJ,Carlos,Lucas
162,Coritiba S.a.f. - PR,Diogo,Edu
162,Coritiba S.a.f. - PR,Bruno Gomes,Lucas
162,Coritiba S.a.f. - PR,Matheus,Fransergio
162,Coritiba S.a.f. - PR,Natanael Milouski,Diogo Batista
162,Coritiba S.a.f. - PR,Robson,MAURICIO
163,São Paulo - SP,Alisson,RODRIGUINHO
163,São Paulo - SP,Wellington Rato,Michel Araujo
163,São Paulo - SP,Caio Paulista,Welington
163,São Paulo - SP,Rodrigo Nestor,Alexandre Pato
163,São Paulo - SP,Erison,Juan
163,Bahia - BA,Rezende,Rafael Ratão
163,Bahia - BA,Matheus Bahia,Camilo Cándido
163,Bahia - BA,Mingotti,Jacare
163,Bahia - BA,Thaciano,Raul Gustavo
163,Bahia - BA,Ademir,Everaldo
164,Corinthians - SP,Adson,Guilherme Biro
164,Corinthians - SP,Caetano,Fagner
164,Corinthians - SP,Fabio Santos,Matheus Bidu
164,Corinthians - SP,Renato Augusto,Fausto
164,Corinthians - SP,RUAN,Matheus Araujo
164,Vasco da Gama S.a.f. - RJ,Praxedes,Carabajal
164,Vasco da Gama S.a.f. - RJ,Figueiredo,Gabriel Pec
164,Vasco da Gama S.a.f. - RJ,Puma Rodriguez,Orellano
164,Vasco da Gama S.a.f. - RJ,Miranda,Paulo Henrique
164,Vasco da Gama S.a.f. - RJ,Jair,Paulinho
165,Goiás - GO,Magno Jose,Bruno
165,Goiás - GO,Sander,Hugo
165,Goiás - GO,Sidimar,Bruno
165,Goiás - GO,Anderson,Allano
165,Goiás - GO,Joao,Matheus Babi
165,Grêmio - RS,Joao Pedro,Fabio
165,Grêmio - RS,Nathan,Ferreira
165,Grêmio - RS,Bitello,Nathan
165,Grêmio - RS,Ronald,Zinho
166,Atlético Mineiro - MG,Otavio,Alan Kardec
166,Atlético Mineiro - MG,Rodrigo Battaglia,Alan Franco
166,Atlético Mineiro - MG,Renzo Saravia,Mariano
166,Atlético Mineiro - MG,Pavon,Alisson Santana
166,Flamengo - RJ,Victor Hugo,Luiz
166,Flamengo - RJ,Filipe Luís,Thiago Maia
166,Flamengo - RJ,Bruno Henrique,Everton
166,Flamengo - RJ,Éverton Ribeiro,De Arrascaeta
166,Flamengo - RJ,Leo Pereira,Pablo
167,Internacional - RS,WANDERSON,Pedro
167,Internacional - RS,Joao Lucas,THAUAN LARA
167,Internacional - RS,Carlos de Pena,Mauricio
167,Internacional - RS,Aranguiz,Bruno
167,Internacional - RS,Valencia,Luiz Adriano
167,Cuiabá Saf - MT,Raniele,Filipe Augusto
167,Cuiabá Saf - MT,Clayson,DERIK
167,Cuiabá Saf - MT,Fernando,Lucas
167,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Denilson
167,Cuiabá Saf - MT,Deyverson,PITTA
168,Athletico Paranaense - PR,Vitor Bueno,Zapelli
168,Athletico Paranaense - PR,Cuello,Pablo
168,Athletico Paranaense - PR,Matheus Felipe,Luciano Arriagada
168,Athletico Paranaense - PR,Hugo Moura,Fernandinho
168,Athletico Paranaense - PR,VIDAL,Erick
168,Cruzeiro Saf - MG,Mateus,Wallisson
168,Cruzeiro Saf - MG,Filipe Machado,Matheus Pereira
168,Cruzeiro Saf - MG,Lucas Silva,Fernando
168,Cruzeiro Saf - MG,Arthur Gomes,Nikao
168,Cruzeiro Saf - MG,Palacios,William
169,Fortaleza - CE,Dudu,Lucero
169,Fortaleza - CE,Calebe,Machuca
169,Fortaleza - CE,Marinho,Guilherme Augusto
169,Fortaleza - CE,Thiago Galhardo,Kauan
169,Fortaleza - CE,Caio,Yago
169,Red Bull Bragantino - SP,Léo Ortiz,Luan Patrick
169,Red Bull Bragantino - SP,Eric Ramires,Gustavinho
169,Red Bull Bragantino - SP,Luan Candido,Sorriso
169,Red Bull Bragantino - SP,Eduardo Sasha,Bruninho
169,Red Bull Bragantino - SP,Vitinho,Andres Hurtado
170,America Saf - MG,Paulo,Matheusinho
170,America Saf - MG,Ale,Breno Lemos
170,America Saf - MG,Gonzalo Mastriani,Rodrigo Varanda
170,America Saf - MG,Emmanuel Martinez,Lucas
170,America Saf - MG,Martin Benitez,Juninho
170,Palmeiras - SP,Artur,Breno
170,Palmeiras - SP,Ze Rafael,Richard Rios
170,Palmeiras - SP,Mayke,Marcos Rocha
170,Palmeiras - SP,Raphael Veiga,Luis Guilherme
170,Palmeiras - SP,Rony,Lopez
171,Fluminense - RJ,John Kennedy,Lelê
171,Fluminense - RJ,Leo Fernandez,Lima
171,Fluminense - RJ,Marlon Santos,Felipe Melo
171,Fluminense - RJ,Samuel Xavier,Guga
171,Fluminense - RJ,Daniel,PH GANSO
171,Palmeiras - SP,Endrick,Rony
171,Palmeiras - SP,Luis Guilherme,Artur
171,Palmeiras - SP,Jailson,Gabriel Menino
171,Palmeiras - SP,Marcos Rocha,Mayke
171,Palmeiras - SP,Breno,Lopez
172,Vasco da Gama S.a.f. - RJ,Robson,Miranda
172,Vasco da Gama S.a.f. - RJ,Orellano,Erick Marcus
172,Vasco da Gama S.a.f. - RJ,Praxedes,Marlon Gomes
172,Vasco da Gama S.a.f. - RJ,Sebastian Ferreira,Vegetti
172,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Figueiredo
172,Grêmio - RS,Bitello,G. Martins
172,Grêmio - RS,Nathan,Besozzi
172,Grêmio - RS,Uvini,Andre
172,Grêmio - RS,Ferreira,Gustavo
172,Grêmio - RS,Carballo,Mila
173,São Paulo - SP,Rafinha,Alexandre Pato
173,São Paulo - SP,Talles Costa,Lucas
173,São Paulo - SP,Rodrigo Nestor,Alisson
173,São Paulo - SP,Michel Araujo,David
173,São Paulo - SP,Luciano,Wellington Rato
173,Atlético Mineiro - MG,Hulk,Alan Franco
173,Atlético Mineiro - MG,Pavon,Edenilson
173,Atlético Mineiro - MG,Paulinho,Igor Gomes
173,Atlético Mineiro - MG,Jemerson,Muricio Lemos
173,Atlético Mineiro - MG,Hyoran,Patrick
174,Santos - SP,Dodi,Julio Furch
174,Santos - SP,Rodrigo,Lucas
174,Santos - SP,Dodo,Kevyson
174,Athletico Paranaense - PR,Madson,Khellven
174,Athletico Paranaense - PR,Fernandinho,Canobbio
174,Athletico Paranaense - PR,Zapelli,Vitor Bueno
174,Athletico Paranaense - PR,Marcelo Cirino,Vitor Roque
174,Athletico Paranaense - PR,Cacá,Ze Ivaldo
175,Goiás - GO,Vinicius,Joao
175,Goiás - GO,Guilherme,Higor
175,Goiás - GO,Matheus Babi,Allano
175,Goiás - GO,Sidimar,Edu
175,Fortaleza - CE,Tobias,Dudu
175,Fortaleza - CE,Pochettino,Thiago Galhardo
175,Fortaleza - CE,Caio,Lucas Crispim
175,Fortaleza - CE,Silvio Romero,Lucero
175,Fortaleza - CE,Yago,Machuca
176,Cruzeiro Saf - MG,Arthur Gomes,Paulo Vitor
176,Cruzeiro Saf - MG,Gilberto,Rafael Papagaio
176,Cruzeiro Saf - MG,Matheus Pereira,Nikao
176,Cruzeiro Saf - MG,William,Palacios
176,Cruzeiro Saf - MG,Filipe Machado,Mateus
176,Botafogo - RJ,Junior,Matias Segovia
176,Botafogo - RJ,Carlos,Danilo
176,Botafogo - RJ,Joao Victor,Carlos Alberto
176,Botafogo - RJ,Tche Tche,Janderson
176,Botafogo - RJ,Tiquinho,Lucas
177,Internacional - RS,Mauricio,Valencia
177,Internacional - RS,Pedro,Alan Patrick
177,Internacional - RS,Matheus,WANDERSON
177,Internacional - RS,Gabriel,Joao Lucas
177,Internacional - RS,Bruno,Aranguiz
177,Corinthians - SP,Maycon,Roni
177,Corinthians - SP,Renato Augusto,Fausto
177,Corinthians - SP,RUAN,Bruno Mendez
177,Corinthians - SP,Guilherme Biro,Angel Romero
177,Corinthians - SP,Adson,Matheus Araujo
178,Coritiba S.a.f. - PR,Kaio Lima,Fransergio
178,Coritiba S.a.f. - PR,Andrey,MAURICIO
178,Coritiba S.a.f. - PR,Bruno Gomes,Edu
178,Coritiba S.a.f. - PR,Matheus,Sebastian Gomez
178,Coritiba S.a.f. - PR,Natanael Milouski,Diogo Batista
178,Red Bull Bragantino - SP,Andres Hurtado,Aderlan
178,Red Bull Bragantino - SP,Matheus Fernandes,Yani Quintero
178,Red Bull Bragantino - SP,Cipriano,Guilherme
178,Red Bull Bragantino - SP,Vitinho,Thiago Borbas
178,Red Bull Bragantino - SP,Eduardo Sasha,Gustavinho
179,Bahia - BA,Camilo Cándido,Matheus Bahia
179,Bahia - BA,Rafael Ratão,Cittadini
179,Bahia - BA,Gilberto,Cicinho
179,Bahia - BA,Ademir,Jacare
179,Bahia - BA,Thaciano,Yago Felipe
179,America Saf - MG,Gonzalo Mastriani,Paulo
179,America Saf - MG,Felipe Azevedo,Martin Benitez
179,America Saf - MG,Pedrinho,Everaldo
179,America Saf - MG,Javier Mendez,Iago
179,America Saf - MG,Daniel Borges,Rodrigo
180,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Lucas
180,Cuiabá Saf - MT,Clayson,DERIK
180,Cuiabá Saf - MT,RIKELME,Uendel
180,Cuiabá Saf - MT,Cafu,Wellington Silva
180,Cuiabá Saf - MT,Raniele,Filipe Augusto
180,Flamengo - RJ,Ayrton Lucas,Allan
180,Flamengo - RJ,Everton,Bruno Henrique
180,Flamengo - RJ,Gerson,Igor Jesus
180,Flamengo - RJ,Varela,Wesley
181,Flamengo - RJ,De Arrascaeta,Éverton Ribeiro
181,Flamengo - RJ,Victor Hugo,Luiz
181,Flamengo - RJ,Gabriel Barbosa,Pedro
181,Flamengo - RJ,Thiago Maia,Gerson
181,São Paulo - SP,Gabriel Neves,Felipe
181,São Paulo - SP,Alexandre Pato,James Rodriguez
181,São Paulo - SP,Welington,Rai
181,São Paulo - SP,Alisson,Rodrigo Nestor
181,São Paulo - SP,Lucas,Wellington Rato
182,Botafogo - RJ,Lucas,Janderson
182,Botafogo - RJ,Joao Victor,Danilo
182,Botafogo - RJ,Gustavo,Luis Henrique
182,Botafogo - RJ,Tche Tche,Junior
182,Botafogo - RJ,Carlos,Philipe
182,Internacional - RS,Alan Patrick,Matheus
182,Internacional - RS,WANDERSON,Pedro
182,Internacional - RS,Mauricio,Nicolas Hernandez
182,Internacional - RS,Valencia,Luiz Adriano
182,Internacional - RS,Aranguiz,Bruno
183,Palmeiras - SP,Gustavo Gomez,Richard Rios
183,Palmeiras - SP,Jhon Jhon,Breno
183,Palmeiras - SP,Ze Rafael,Lopez
