NPartida,Time,Substituido,Substituto
30,Cuiabá Saf - MT,Filipe Augusto,PITTA
30,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Ronald
30,Grêmio - RS,Cristaldo,Nathan
30,Grêmio - RS,Fabio,Thomas Luciano
30,Grêmio - RS,Lucas Silva,Uvini
30,Grêmio - RS,Vina,Galdino
30,Grêmio - RS,Mila,Zinho
31,Fluminense - RJ,Marcelo,Lelê
31,Fluminense - RJ,Lima,Thiago Santos
31,Fluminense - RJ,Felipe Melo,John Kennedy
31,Fluminense - RJ,Samuel Xavier,Guga
31,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Figueiredo
31,Vasco da Gama S.a.f. - RJ,Jair,Marlon Gomes
31,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Rwan
31,Vasco da Gama S.a.f. - RJ,Pedro Raul,Eguinaldo
31,Vasco da Gama S.a.f. - RJ,Andrey Santos,Matias Galarza
32,Botafogo - RJ,Lucas,Tche Tche
32,Botafogo - RJ,Gabriel,Carlos
32,Botafogo - RJ,Junior,Matias Segovia
32,Botafogo - RJ,Matheus Nascimento,Tiquinho
32,Botafogo - RJ,Joao Victor,Luis Henrique
32,Atlético Mineiro - MG,Paulinho,Vargas
32,Atlético Mineiro - MG,Edenilson,Pavon
32,Atlético Mineiro - MG,Hyoran,Igor Gomes
32,Atlético Mineiro - MG,Rubens,Patrick
33,São Paulo - SP,Marcos Paulo,Calleri
33,São Paulo - SP,Gabriel Neves,Luan Silva
33,São Paulo - SP,Rodrigo Nestor,Sebastian Mendez
33,São Paulo - SP,Alisson,Wellington Rato
33,São Paulo - SP,Luciano,Michel Araujo
33,Internacional - RS,Vitão,Moledo
33,Internacional - RS,Mauricio,Pedro
33,Internacional - RS,Gustavo,Gabriel  Baralhas
33,Internacional - RS,Igor Gomes,BUSTOS
33,Internacional - RS,Luiz Adriano,Lucca
34,Corinthians - SP,Adson,Angel Romero
34,Corinthians - SP,Fausto,Paulinho
34,Corinthians - SP,Matheus Araujo,Yuri Alberto
34,Corinthians - SP,Pedrinho,Guilherme Biro
34,Corinthians - SP,Fabio Santos,Matheus Bidu
34,Fortaleza - CE,Moises,Romarinho
34,Fortaleza - CE,HERCULES,Yago
34,Fortaleza - CE,Calebe,Pochettino
34,Fortaleza - CE,Lucas,Zanocelo
34,Fortaleza - CE,Thiago Galhardo,Silvio Romero
35,Goiás - GO,Zé Ricardo,Alesson
35,Goiás - GO,Guilherme,Sidimar
35,Goiás - GO,Matheus Peixoto,Apodi
35,Goiás - GO,Julian,Vinicius
35,Goiás - GO,Vinicius,Diego
35,Palmeiras - SP,Raphael Veiga,Jhon Jhon
35,Palmeiras - SP,Rony,Endrick
35,Palmeiras - SP,Gabriel Menino,Richard Rios
35,Palmeiras - SP,Mayke,Gustavo Garcia
35,Palmeiras - SP,Ze Rafael,Fabinho
36,Cruzeiro Saf - MG,Bilu,Wesley Ribeiro Silva
36,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
36,Cruzeiro Saf - MG,Mateus,Neto
36,Cruzeiro Saf - MG,Ramiro,Filipe Machado
36,Santos - SP,Lucas Lima,Daniel Ruiz
36,Santos - SP,Nathan,Gabriel
36,Santos - SP,Rodrigo,Ed Carlos
36,Santos - SP,Camacho,Deivid Washington
36,Santos - SP,Lucas,Ângelo
37,Grêmio - RS,Suarez,Andre
37,Grêmio - RS,Vina,Galdino
37,Grêmio - RS,Mila,G. Martins
37,Grêmio - RS,Cristaldo,Nathan
37,Grêmio - RS,Lucas Silva,Zinho
37,Red Bull Bragantino - SP,Matheus Fernandes,Thiago Borbas
37,Red Bull Bragantino - SP,Helinho,Henry Mosquera
37,Red Bull Bragantino - SP,Bruninho,Vitinho
38,Athletico Paranaense - PR,Christian,Bryan Garcia
38,Athletico Paranaense - PR,David Terans,Pablo
38,Athletico Paranaense - PR,Romulo,Thiago
38,Athletico Paranaense - PR,Vitor Roque,Canobbio
38,Athletico Paranaense - PR,Erick,Hugo Moura
38,Flamengo - RJ,Santos,Matheus Cunha
38,Flamengo - RJ,Éverton Ribeiro,De Arrascaeta
38,Flamengo - RJ,Matheus França,Marinho
38,Flamengo - RJ,Thiago Maia,Victor Hugo
39,Bahia - BA,Yago Felipe,Acevedo
39,Bahia - BA,Biel,Mugni
39,Bahia - BA,Thaciano,Diego Rosa
39,Bahia - BA,Everaldo,Arthur Sales
39,Bahia - BA,Cauly,Ademir
40,America Saf - MG,Aloisio,MIKAEL
40,America Saf - MG,Felipe Azevedo,Mateus Gonçalves
40,America Saf - MG,Everaldo,Emmanuel Martinez
40,America Saf - MG,Martin Benitez,Lucas
40,America Saf - MG,Marcinho,Nino Paraiba
40,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Nicolas
40,Cuiabá Saf - MT,Emerson,Cafu
40,Cuiabá Saf - MT,Iury,Wellington Silva
40,Cuiabá Saf - MT,Raniele,Ronald
40,Cuiabá Saf - MT,Deyverson,PITTA
41,Flamengo - RJ,Ayrton Lucas,David Luiz
41,Flamengo - RJ,Éverton Ribeiro,Matheus França
41,Flamengo - RJ,Pedro,Bruno Henrique
41,Flamengo - RJ,Erick Pulgar,VIDAL
41,Flamengo - RJ,Everton,Matheus Gonçalves
41,Goiás - GO,Julian,Diego
41,Goiás - GO,Jackson,Vinicius
41,Goiás - GO,Vinicius,Alesson
41,Goiás - GO,Morelli,Willian Oliveira
42,Botafogo - RJ,Marlon Freitas,Lucas
42,Botafogo - RJ,Gabriel,Tche Tche
42,Botafogo - RJ,Joao Victor,Matias Segovia
42,Botafogo - RJ,Junior,Luis Henrique
42,Botafogo - RJ,Tiquinho,Janderson
42,Corinthians - SP,Fabio Santos,Bruno Mendez
42,Corinthians - SP,Adson,Wesley
42,Corinthians - SP,Maycon,Chrystian
42,Corinthians - SP,Matheus Araujo,Giuliano
43,Palmeiras - SP,Rony,Richard Rios
43,Palmeiras - SP,Raphael Veiga,Endrick
43,Palmeiras - SP,Artur,Breno
43,Palmeiras - SP,Ze Rafael,Fabinho
43,Palmeiras - SP,Dudu,Bruno
43,Grêmio - RS,Carballo,Galdino
43,Grêmio - RS,Cristaldo,Zinho
43,Grêmio - RS,Thomas Luciano,G. Martins
43,Grêmio - RS,Vina,Nathan
43,Grêmio - RS,Kannemann,Andre
