Clube,Camisa,Apelido
Cruzeiro Saf - MG,16,Kaiki Bruno
Cruzeiro Saf - MG,18,Matheus
Cruzeiro Saf - MG,33,Igor Marques Paciencia Cardoso
Cruzeiro Saf - MG,22,Stênio
Cruzeiro Saf - MG,48,Daniel JR
Fortaleza - CE,16,Fernando Miguel
Fortaleza - CE,8,Caio
Fortaleza - CE,18,Silvio Romero
Fortaleza - CE,22,Yago
Fortaleza - CE,19,Britez
Fortaleza - CE,27,Calebe
Fortaleza - CE,21,Moises
Fortaleza - CE,29,Guilherme Augusto
Fortaleza - CE,11,Romarinho
Fortaleza - CE,35,HERCULES
Fortaleza - CE,88,Lucas
Fortaleza - CE,7,Pochettino
Fortaleza - CE,25,Zanocelo
Fortaleza - CE,4,Christian
Fortaleza - CE,6,Bruno Pacheco
Fortaleza - CE,2,Guilherme
Fortaleza - CE,30,Mauricio Kozlinski
Fortaleza - CE,5,Marcelo
Fortaleza - CE,10,Lucas Crispim
Fortaleza - CE,13,Lucas Esteves
Fortaleza - CE,17,Welison
Fortaleza - CE,26,Sammuel
Fortaleza - CE,3,Brayan Ceballos
Cruzeiro Saf - MG,1,Rafael Cabral
Cruzeiro Saf - MG,25,Richard
Cruzeiro Saf - MG,8,Neto
Cruzeiro Saf - MG,7,Mateus
Cruzeiro Saf - MG,5,Wallisson
Cruzeiro Saf - MG,4,Luciano Castan
Cruzeiro Saf - MG,21,Gilberto
Cruzeiro Saf - MG,9,Bruno Rodrigues
Cruzeiro Saf - MG,12,William
Cruzeiro Saf - MG,17,Ramiro
Cruzeiro Saf - MG,23,Filipe Machado
Cruzeiro Saf - MG,10,Nikao
Cruzeiro Saf - MG,31,Bilu
Cruzeiro Saf - MG,3,Marlon
Cruzeiro Saf - MG,6,Lucas Oliveira
Grêmio - RS,12,Gabriel Grando
Grêmio - RS,6,Diogo Barbosa
Grêmio - RS,34,Bruno Alves
Grêmio - RS,18,Joao Pedro
Grêmio - RS,16,Lucas Silva
Grêmio - RS,13,Galdino
Grêmio - RS,11,Vina
Grêmio - RS,77,Andre
Grêmio - RS,19,Cristaldo
Grêmio - RS,17,Gustavo
Grêmio - RS,39,Bitello
Grêmio - RS,7,Nathan
Grêmio - RS,48,Zinho
Grêmio - RS,4,Kannemann
Grêmio - RS,9,Suarez
Cruzeiro Saf - MG,98,Anderson Paixão
Cruzeiro Saf - MG,27,Neris
Cruzeiro Saf - MG,70,Juan Christian
Cruzeiro Saf - MG,33,Igor Marques Paciencia Cardoso
Cruzeiro Saf - MG,16,Kaiki Bruno
Cruzeiro Saf - MG,18,Matheus
Cruzeiro Saf - MG,22,Stênio
Cruzeiro Saf - MG,11,Wesley Ribeiro Silva
Grêmio - RS,31,Adriel
Grêmio - RS,15,Uvini
Grêmio - RS,45,Mila
Grêmio - RS,36,Nata
Grêmio - RS,41,Felipe
Grêmio - RS,46,José Guilherme
Grêmio - RS,37,Darlan
Grêmio - RS,58,Thomas Luciano
Cuiabá Saf - MT,1,Walter
Cuiabá Saf - MT,99,Iury
Cuiabá Saf - MT,7,Cafu
Cuiabá Saf - MT,27,Denilson
Cuiabá Saf - MT,8,Ronald
Cuiabá Saf - MT,17,Emerson
Cuiabá Saf - MT,11,Wellington Silva
Cuiabá Saf - MT,94,Patric
Cuiabá Saf - MT,98,Matheusinho
Cuiabá Saf - MT,34,Allyson
Cuiabá Saf - MT,16,Deyverson
Cuiabá Saf - MT,9,PITTA
Cuiabá Saf - MT,14,Raniele
Cuiabá Saf - MT,88,Fernando
Cuiabá Saf - MT,10,Pablo Ceppelini Gatto
Cuiabá Saf - MT,4,Marllon
Red Bull Bragantino - SP,40,Lucão
Red Bull Bragantino - SP,4,Natan
Red Bull Bragantino - SP,35,Matheus Fernandes
Red Bull Bragantino - SP,18,Thiago Borbas
Red Bull Bragantino - SP,11,Helinho
Red Bull Bragantino - SP,27,Sorriso
Red Bull Bragantino - SP,22,Gustavinho
Red Bull Bragantino - SP,7,Eric Ramires
Red Bull Bragantino - SP,16,Henry Mosquera
Red Bull Bragantino - SP,44,Nacho Laquintana
Red Bull Bragantino - SP,8,Evangelista
Red Bull Bragantino - SP,5,Jadsom Silva
Red Bull Bragantino - SP,29,J. Capixaba
Red Bull Bragantino - SP,26,Eduardo
Red Bull Bragantino - SP,13,Aderlan
Red Bull Bragantino - SP,19,Eduardo Sasha
Cuiabá Saf - MT,21,Joao Carlos
Cuiabá Saf - MT,2,Matheus Alexandre
Cuiabá Saf - MT,3,Victor Matheus
Cuiabá Saf - MT,33,ALAN
Red Bull Bragantino - SP,12,Maycon
Red Bull Bragantino - SP,31,Guilherme
Red Bull Bragantino - SP,2,Léo Realpe
Red Bull Bragantino - SP,9,Alerrandro
Red Bull Bragantino - SP,34,Andres Hurtado
Red Bull Bragantino - SP,30,Luan Patrick
Red Bull Bragantino - SP,25,Praxedes
Flamengo - RJ,1,Santos
Flamengo - RJ,6,Ayrton Lucas
Flamengo - RJ,11,Everton
Flamengo - RJ,27,Bruno Henrique
Flamengo - RJ,20,Gerson
Flamengo - RJ,4,Leo Pereira
Flamengo - RJ,8,Thiago Maia
Flamengo - RJ,48,Igor Jesus
Flamengo - RJ,7,Éverton Ribeiro
Flamengo - RJ,29,Victor Hugo
Flamengo - RJ,15,Fabricio Bruno
Flamengo - RJ,10,Gabriel Barbosa
Flamengo - RJ,9,Pedro
Flamengo - RJ,42,Matheus França
Flamengo - RJ,31,Marinho
Flamengo - RJ,43,Wesley
Flamengo - RJ,25,Matheus Cunha
Flamengo - RJ,2,Varela
Flamengo - RJ,39,Zé Welinton
Flamengo - RJ,30,Pablo
Flamengo - RJ,38,Andre
Flamengo - RJ,40,Matheus Gonçalves
Flamengo - RJ,3,Rodrigo Caio
Fluminense - RJ,1,Fabio
Fluminense - RJ,30,Felipe Melo
Fluminense - RJ,4,Vitor Mendes
Fluminense - RJ,14,German Cano
Fluminense - RJ,9,John Kennedy
Fluminense - RJ,21,Jhon Arias
Fluminense - RJ,33,Nino
Fluminense - RJ,10,PH GANSO
Fluminense - RJ,99,Lelê
Fluminense - RJ,11,Keno
Fluminense - RJ,20,Gabriel Pirani
Fluminense - RJ,2,Samuel Xavier
Fluminense - RJ,5,Alexsander
Fluminense - RJ,7,André
Fluminense - RJ,45,Lima
Fluminense - RJ,29,Thiago Santos
Athletico Paranaense - PR,1,Bento
Athletico Paranaense - PR,5,Fernandinho
