Clube,Nome,Apelido,Camisa
Ceará - CE,Paulo Victor de Almeida Barbosa,Paulo Victor,0
Cruzeiro Saf - MG,Paulo Vitor Fernandes Pereira,Paulo Vitor,0
Atlético Mineiro - MG,Paulo Vitor Monteiro,Vitinho,0
Fortaleza - CE,Pedro Augusto Borges da Costa,Pedro,0
Fluminense - RJ,Pedro Felipe de Faria Rangel,Pedro Rangel,22
America Saf - MG,Pedro Gabriel Pereira Lopes,Pedrinho,0
Flamengo - RJ,Pedro Guilherme Abreu dos Santos,Pedro,9
,Pedro Henrique Azevedo Pereira,Pedrinho,0
Santos - SP,Pedro Henrique Cunha Scaramussa,Pedro Henrique,0
Corinthians - SP,Pedro Henrique de Assis,Pedrinho,27
Flamengo - RJ,Pedro Henrique Fonseca de Araujo Martins,Pedrinho,0
Cruzeiro Saf - MG,Pedro Henrique Franklim da Silva,Pedrão,0
Internacional - RS,Pedro Henrique Konzen Medina da Silva,Pedro,28
Athletico Paranaense - PR,Pedro Henrique Ribeiro Goncalves,Pedro Henrique,34
Corinthians - SP,Pedro Henrique Silva dos Santos,Pedrinho,27
Goiás - GO,Pedro Junqueira de Oliveira,Pedrinho,0
,Pedro Lima Barros,Pedro Lima,0
Coritiba S.a.f. - PR,Pedro Luccas Morisco da Silva,Pedro Morisco,0
,Pedro Raul Garay da Silva,Pedro Raul,0
Fortaleza - CE,Pedro Rocha Neves,Pedro Rocha,0
Grêmio - RS,Pedro Tonon Geromel,Geromel,0
São Paulo - SP,Pedro Veronez Vilhena,Pedrinho,0
Bahia - BA,Pedro Victor da Silva Santos,Vitinho,0
Atlético Mineiro - MG,Pedro Victor Delmino da Silva,Pedrinho,38
Flamengo - RJ,Petterson Novaes Reis,Petterson,0
Botafogo - RJ,Philipe Sampaio Azevedo,Philipe,94
Goiás - GO,Philippe Almeida Costa,Philippe,90
Corinthians - SP,Rafael Antonio Figueiredo Ramos,Rafael Ramos,0
Cruzeiro Saf - MG,Rafael Bilu Mudesto,Bilu,31
Cruzeiro Saf - MG,Rafael Cabral Barbosa,Rafael Cabral,1
Cruzeiro Saf - MG,Rafael Elias da Silva,Rafael Papagaio,0
Avaí - SC,Rafael Gustavo Meneghel Gava,Rafael Gava,0
Fluminense - RJ,Rafael Monteiro Reis,Rafael Monteiro,0
,Rafael Navarro Leal,Rafael Navarro,0
Botafogo - RJ,Rafael Pereira da Silva,Rafael,2
São Paulo - SP,Rafael Pires Monteiro,Rafael,23
America Saf - MG,Rafael Raul Barcelos,Rafa,0
Bahia - BA,Rafael Rogerio da Silva,Rafael Ratão,0
Bahia - BA,Rafael Soares de Jesus,Rafael Soares,0
Botafogo - RJ,Rai da Silva Pessanha,RAI,75
São Paulo - SP,Rai dos Reis Ramos,Rai,34
Cruzeiro Saf - MG,Ramiro Moschen Benetti,Ramiro,17
Botafogo - RJ,Ramon Vargas de Jesus Farias,Ramon,0
Cuiabá Saf - MT,Raniele Almeida Melo,Raniele,14
Palmeiras - SP,Raphael Cavalcante Veiga,Raphael Veiga,0
Goiás - GO,Raphael Gregorio Guzzo,Raphael Guzzo,0
Bahia - BA,Raul Gustavo Pereira Bicalho,Raul Gustavo,0
Red Bull Bragantino - SP,Raul Lô Gonçalves,Raul,0
Vasco da Gama S.a.f. - RJ,Ray Breno Silva Valentim,Ray,0
Flamengo - RJ,Rayan Lucas Marques de Souza,Rayan Lucas,0
Vasco da Gama S.a.f. - RJ,Rayan Vitor Simplício Rocha,Rayan,0
Grêmio - RS,Reinaldo Manoel da Silva,Reinaldo,0
,Reinaldo Nascimento Satorno,Reinaldo,0
Cuiabá Saf - MT,Renan Carrasco Veltri,Renan,0
Atlético Mineiro - MG,Renan Cunha Macedo Santana,Renan,0
Athletico Paranaense - PR,Renan Rodrigues Fonseca Viana,Renan Viana,0
America Saf - MG,Renato Kayzer de Souza,Renato Kayzer,0
America Saf - MG,Renato Marques de Oliveira Junior,Renato,0
Corinthians - SP,Renato Santos da Cruz,Renato,0
Corinthians - SP,Renato Soares de Oliveira Augusto,Renato Augusto,0
Internacional - RS,Rene Rodrigues Martins,Rene,6
Santos - SP,Renyer Luan de Oliveira Damasceno,Renyer,0
Atlético Mineiro - MG,Renzo Saravia,Renzo Saravia,26
Atlético Mineiro - MG,Rever Humberto Alves de Araujo,Rever,4
Coritiba S.a.f. - PR,Reynaldo Cesar Moraes,Reynaldo,0
Cruzeiro Saf - MG,Rhuan Gabriel Rodrigues de Souza Silva,Rhuan Gabriel,0
Botafogo - RJ,Rhuan Lucas Gonçalves da Costa,RHUAN,0
Cuiabá Saf - MT,Rhyan Luca Carvalho de Arruda,RHYAN,0
America Saf - MG,Ricardo Cesar Dantas da Silva,Ricardo Silva,45
,Ricardo Goulart Pereira,Ricardo Goulart,0
Internacional - RS,Ricardo Mathias da Silva,Ricardo,0
,Richard Candido Coelho,Richard,0
Palmeiras - SP,Richard Rios Montoya,Richard Rios,27
Cuiabá Saf - MT,Rikelme Hernandes Amorim Rocha,RIKELME,0
Vasco da Gama S.a.f. - RJ,Riquelme de Carvalho Araujo Viana,Riquelme,0
Fortaleza - CE,Riquelme de Sousa Gomes Inacio,Riquelme,0
Palmeiras - SP,Riquelme Fillipi Marinho de Souza,Riquelme,0
Internacional - RS,Riquelmy de Oliveira Santos,Riquelmy,0
São Paulo - SP,Robert Abel Arboleda Escobar,Arboleda,5
Cruzeiro Saf - MG,Robert Vinicius Rodrigues Silva,Robert,0
Botafogo - RJ,Roberto Junior Fernandez Torres,Gatito Fernandes,0
Vasco da Gama S.a.f. - RJ,Robson Alves de Barros,Robson,30
Coritiba S.a.f. - PR,Robson dos Santos Fernandes,Robson,0
,Robson Luiz dos Santos Nascimento,Robson,0
Londrina - PR,Rodrigo Alves de Holanda Santos,Rodrigo,0
Atlético Mineiro - MG,Rodrigo Andrés Battaglia,Rodrigo Battaglia,21
Flamengo - RJ,Rodrigo Caio Coquette Russo,Rodrigo Caio,3
Coritiba S.a.f. - PR,Rodrigo Cunha Pereira de Pinho,Rodrigo,0
Grêmio - RS,Rodrigo Ely,R. Ely,0
Santos - SP,Rodrigo Fernandez Cedres,Rodrigo,14
Flamengo - RJ,Rodrigo Garcia de Lima Baz de Medeiros,Rodrigo,0
America Saf - MG,Rodrigo Henrique Santos de Souza,Rodrigo,0
São Paulo - SP,Rodrigo Huendra Almeida Mendonça,RODRIGUINHO,0
Internacional - RS,Rodrigo Modesto da Silva Moledo,Moledo,4
São Paulo - SP,Rodrigo Nestor Bertalia,Rodrigo Nestor,11
America Saf - MG,Rodrigo Santos Varanda,Rodrigo Varanda,0
Bahia - BA,Roger Gabriel Farias de Jesus,Roger,0
,Roger Krug Guedes,Roger Guedes,0
Bahia - BA,Roger Ruan Pereira Santos,Roger Pereira,0
Atlético Mineiro - MG,Romulo Helberte Pereira Junior,Rômulo,0
Athletico Paranaense - PR,Romulo Jose Cardoso da Cruz,Romulo,35
Internacional - RS,Romulo Zanre Zwarg,Romulo,40
Cuiabá Saf - MT,Ronald Barbosa Raposo,Ronald,8
,Ronald Barcellos Arantes,Ronald,0
Grêmio - RS,Ronald Cardoso Falkoski,Ronald,0
Cuiabá Saf - MT,Ronald dos Santos Lopes,Ronald,8
Corinthians - SP,Roni Medeiros de Moura,Roni,29
Palmeiras - SP,Ronielson da Silva Barbosa,Rony,0
Vasco da Gama S.a.f. - RJ,Rosicley Pereira da Silva,Rossi,0
Corinthians - SP,Ruan de Oliveira Ferreira,RUAN,0
Coritiba S.a.f. - PR,Ruan Lucas de Assis,Ruan Lucas,0
Cruzeiro Saf - MG,Ruan Matheus Rodrigues Santos,Ruan Matheus,0
Cruzeiro Saf - MG,Ruan Silva Fonseca,RUAN,0
Atlético Mineiro - MG,Rubens Antonio Dias,Rubens,44
,Rwan Philipe Rodrigues de Souza Cruz,Rwan,0
Bahia - BA,Ryan Carlos Santos de Sousa,Ryan,0
São Paulo - SP,Ryan Francisco Rodrigues dos Santos Silva,Ryan Francisco,0
Corinthians - SP,Ryan Gustavo de Lima,RYAN,0
Atlético - GO,Sammuel Queiroz de Freitas,Sammuel,0
America Saf - MG,Samuel Alves Barroso,SAMUEL ALVES,0
Fluminense - RJ,Samuel Xavier Brito,Samuel Xavier,2
Goiás - GO,Sander Henrique Bortolotto,Sander,6
Santos - SP,Sandry Roberto Santos Goes,Sandry,6
Coritiba S.a.f. - PR,Sebastian Gomez Londono,Sebastian Gomez,0
Vasco da Gama S.a.f. - RJ,Sergio Antonio da Luz Junior,Serginho,0
Internacional - RS,Sergio Ramon Rochet Alvarez,Rochet,0
Paysandu - PA,Severino do Ramo Clementino da Silva,Nino Paraiba,0
Goiás - GO,Sidimar Fernando Cigolini,Sidimar,4
Bahia - BA,Sidney de Carvalho Duarte,Sidney,0
Fortaleza - CE,Silvio Ezequiel Romero,Silvio Romero,18
Cruzeiro Saf - MG,Stenio Zanetti Toledo,Stênio,22
Goiás - GO,Tadeu Antonio Ferreira,Tadeu,23
Red Bull Bragantino - SP,Talisson de Almeida,Talisson,21
São Paulo - SP,Talles Macedo Toledo Costa,Talles Costa,0
São Paulo - SP,Talles Wander Santos Ribeiro,Talles,0
Cuiabá Saf - MT,Tarcisio Lopes Dionizio Muniz,Tarcisio,0
Cuiabá Saf - MT,Tauan Gabriel da Silva Santos,TAUAN,0
Bahia - BA,Thaciano Mickael da Silva,Thaciano,0
Coritiba S.a.f. - PR,Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,0
Palmeiras - SP,Thalys Henrique Gomes de Araujo,THALYS,0
Internacional - RS,Thauan Lara dos Santos,THAUAN LARA,36
Grêmio - RS,Thiago Beltrame Stallbaum,Thiago Beltrame,0
Coritiba S.a.f. - PR,Thiago Dombroski Moreira,Thiago Dombroski,0
Fluminense - RJ,Thiago dos Santos,Thiago Santos,29
Athletico Paranaense - PR,Thiago Eduardo de Andrade,Thiago,19
Fortaleza - CE,Thiago Galhardo do Nascimento Rocha,Thiago Galhardo,91
Athletico Paranaense - PR,Thiago Heleno Henrique Ferreira,Thiago Heleno,44
Fluminense - RJ,Thiago Henrique Gonçalves Silva,Thiago,0
Flamengo - RJ,Thiago Maia Alencar,Thiago Maia,8
Red Bull Bragantino - SP,Thiago Nicolas Borbas Silva,Thiago Borbas,18
,Thomas Luciano Trindade Lopes Mathias,Thomas Luciano,0
Corinthians - SP,Thomas Rafael Gonçalves Lisboa,Thomas,0
Cuiabá Saf - MT,Thomas Ubisk da Silva,THOMAS,0
Bahia - BA,Tiago Gomes dos Santos,Tiago Gomes,0
Bahia - BA,Tiago Souza de Jesus Carvalho,Tiago,0
Cuiabá Saf - MT,Titto Teles Vasconcelos Mattos,TITTO,0
Fortaleza - CE,Tobias Pereira Figueiredo,Tobias,0
Santos - SP,Tomás Eduardo Rincón Hernández,Tomás Rincón,0
Athletico Paranaense - PR,Tomas Esteban Cuello,Cuello,28
Fortaleza - CE,Tomas Pochettino,Pochettino,7
Cuiabá Saf - MT,Uendel Pereira Goncalves,Uendel,0
Santos - SP,Uilson de Souza Paula Junior,Junior Caiçara,0
Botafogo - RJ,Valentín Nicolás Adamo Reyes,Valentín Adamo,0
Palmeiras - SP,Vanderlan Barbosa da Silva,Vanderlan,6
Vasco da Gama S.a.f. - RJ,Victor Araujo de Alencar Oliveira,Victor Araujo,0
Corinthians - SP,Victor Danilo Cantillo Jimenez,Cantillo,24
Corinthians - SP,Victor de Oliveira Souza Silva,Vitinho,0
,Victor Hugo da Silva Costa,Vitinho,0
Flamengo - RJ,Victor Hugo Gomes Silva,Victor Hugo,29
Bahia - BA,Victor Hugo Soares dos Santos,Kanu,0
Botafogo - RJ,Victor Leandro Cuesta,Victor Cuesta,15
Coritiba S.a.f. - PR,Victor Luis Chuab Zamblauskas,Victor,0
Cuiabá Saf - MT,Victor Matheus dos Santos Gonçalves,Victor Matheus,3
,Victor Yan Souza Santos,Victor Yan,0
Grêmio - RS,Viery Fernandes Santos Lopes,Viery,0
Bahia - BA,Vinicius Alessandro Mingotti,Mingotti,0
Ituano - SP,Vinicius Balieiro Lourenco de Carvalho,Vinicius,0
Corinthians - SP,Vinicius Cressi,Vinicius,0
Internacional - RS,Vinicius de Souza Alves,Vinicius Souza,0
Cuiabá Saf - MT,Vinicius Dorneles Teixeira,Vinicius Dorneles,0
,Vinicius dos Santos de Oliveira Paiva,Vinicius,0
,Vinicius Goes Barbosa de Souza,Vina,0
Pouso Alegre - MG,Vinicius Gonçalves Boff,Vinicius,0
Athletico Paranaense - PR,Vinicius Kaue Ribeiro Ferreira,Vinícius Kauê,0
Red Bull Bragantino - SP,Vinicius Mendonca Pereira,Vinicinho,0
Fluminense - RJ,Vinicius Moreira de Lima,Lima,45
Fortaleza - CE,Vinicius Nelson de Souza Zanocelo,Zanocelo,25
Cuiabá Saf - MT,Vinicius Pasquini Peruchi,PERUCHI,0
,Vinicius Rangel da Silva,Vinicius Rangel,0
Goiás - GO,Vinicius Rodrigues Adelino dos Santos,Vinicius,7
Goiás - GO,Vinicius Santos Silva,Vinicius,7
,Vinicius Silvestre da Costa,Vinicius,0
Cuiabá Saf - MT,Vinicius Teodoro Barreta Melo,Vinicius,26
Corinthians - SP,Vitor Alves Meer,Vitor Meer,0
Palmeiras - SP,Vitor de Oliveira Nunes dos Reis,Vitor Reis,0
Palmeiras - SP,Vitor dos Santos Figueiredo,Figueiredo,0
Internacional - RS,Vitor Eduardo da Silva Matos,Vitão,44
Fluminense - RJ,Vitor Eudes de Souza Costa,Vitor Eudes,98
Athletico Paranaense - PR,Vitor Frezarin Bueno,Vitor Bueno,8
Atlético Mineiro - MG,Vitor Gabriel Reis Guimaraes,Vitor Gabriel,0
Cruzeiro Saf - MG,Vitor Hugo Amorim de Assis,Vitor Hugo,0
Bahia - BA,Vitor Hugo Franchescoli de Souza,Vitor Hugo,0
Botafogo - RJ,Vitor Hugo Morais de Oliveira,Sapata,0
Red Bull Bragantino - SP,Vitor Hugo Naum dos Santos,Vitinho,0
Athletico Paranaense - PR,Vitor Hugo Roque Ferreira,Vitor Roque,9
Atlético Mineiro - MG,Vitor Hugo Santos Graziani,Vitor Graziani,0
Fluminense - RJ,Vitor Mendes Alves,Vitor Mendes,4
Santos - SP,Vladimir Orlando Cardoso de Araujo Filho,Vladimir,1
São Paulo - SP,Walce da Silva Costa Filho,Walce,0
Flamengo - RJ,Wallace Yan de Souza Barreto,Wallace Yan,0
Botafogo - RJ,Wallison Nunes Silva,Wallison,0
,Wallisson Luiz Alves Maximo,Wallisson,0
Grêmio - RS,Walter Kannemann,Kannemann,4
Cuiabá Saf - MT,Walter Leandro Capeloza Artune,Walter,1
Internacional - RS,Wanderson Maciel Sousa Campos,WANDERSON,11
America Saf - MG,Wanderson Santos Pereira,Wanderson,4
America Saf - MG,Washington Omar Aguerre Lima,Aguerre,0
São Paulo - SP,Welington Damascena Santos,Welington,0
Cuiabá Saf - MT,Wellington Alves da Silva,Wellington Silva,11
America Saf - MG,Wellington Pereira do Nascimento,Wellington Paulista,9
São Paulo - SP,Wellington Soares da Silva,Wellington Rato,27
Bahia - BA,Wendel Santana Franca,Wendel Canela,0
,Wendell Silva Santos dos Santos,Wendell,0
,Werik Silva Pinto,Werik Popó,0
Flamengo - RJ,Werton de Almeida Rego,Werton,0
Grêmio - RS,Wesley Costa da Silva,Wesley,0
Ituano - SP,Wesley da Conceicao Duarte Moreira,Wesley Pomba,0
Cruzeiro Saf - MG,Wesley David de Oliveira Andrade,Wesley,0
Red Bull Bragantino - SP,Wesley Gabriel Freire Arcanjo,Wesley,0
Corinthians - SP,Wesley Gassova Ribeiro Teixeira,Wesley,0
Cruzeiro Saf - MG,Wesley Ribeiro Silva,Wesley Ribeiro Silva,11
Flamengo - RJ,Wesley Vinicius França Lima,Wesley,43
Santos - SP,Weslley Pinto Batista,Weslley,0
Palmeiras - SP,Weverton Pereira da Silva,Weverton,21
Cruzeiro Saf - MG,Weverton Silva de Andrade,Weverton,0
Cruzeiro Saf - MG,William de Asevedo Furtado,William,12
São Paulo - SP,William Gomes Carvalho Santos,William,0
Athletico Paranaense - PR,Willian Gomes de Siqueira,Willian,11
Goiás - GO,Willian Osmar de Oliveira Silva,Willian Oliveira,12
Coritiba S.a.f. - PR,Willian Roberto de Farias,Willian Farias,0
Bahia - BA,Yago Felipe da Costa Rocha,Yago Felipe,0
America Saf - MG,Yago Santos de Andrade,Yago,0
America Saf - MG,Yago Souza de Santana,Yago,0
Atlético Mineiro - MG,Yan Philipe Oliveira Lemos,Yan Philipe,0
Red Bull Bragantino - SP,Yani David Quintero Rivas,Yani Quintero,0
Botafogo - RJ,Yarlen Faustino Augusto,YARLEN,0
Santos - SP,Yeferson Julio Soteldo Martinez,Yeferson Soteldo,10
Fluminense - RJ,Yony Alexander Gonzalez Copete,Yony Gonzalez,0
São Paulo - SP,Young Navarro Moraes,Yang,0
São Paulo - SP,Ythallo Ryckelm Rodrigues de Oliveira,Ythallo,0
Corinthians - SP,Yuri Alberto Monteiro da Silva,Yuri Alberto,9
