Clube,Nome,Apelido,Camisa
Atlético Mineiro - MG,Carlos Eduardo Amaral Pereira de Castro,Cadu,42
Santos - SP,Carlos Eduardo Bertolassi da Silva,Cadu Silva,0
Botafogo - RJ,Carlos Eduardo de Oliveira Alves,Carlos,33
Vasco da Gama S.a.f. - RJ,Carlos Eduardo Piekny Neves,Cadu Neves,0
Athletico Paranaense - PR,Carlos Eduardo Santos,Biro,0
Corinthians - SP,Carlos Gilberto do Nascimento Silva,Gil,4
Internacional - RS,Carlos Maria de Pena Bonino,Carlos de Pena,14
Corinthians - SP,Carlos Miguel dos Santos Pereira,Carlos,22
Vasco da Gama S.a.f. - RJ,Carlos Sebastian Ferreira Vidal,Sebastian Ferreira,0
Grêmio - RS,Cassio Penafiel Acosta,Cássio,0
Corinthians - SP,Cassio Ramos,Cássio,12
Vasco da Gama S.a.f. - RJ,Cauã Paixão Souza,Paixão,0
Vasco da Gama S.a.f. - RJ,Cauan Lucas Barros da Luz,Barros,88
Bahia - BA,Cauly Oliveira Souza,Cauly,0
Internacional - RS,Charles Mariano Aranguiz Sandoval,Aranguiz,0
Fortaleza - CE,Christian Chagas Tarouco,Christian,4
Athletico Paranaense - PR,Christian Roberto Alves Cardoso,Christian,88
Ceará - CE,Chrystian Amaral Barletta de Almeida,Chrystian,0
Fluminense - RJ,Claudio Rodrigues Gomes,Guga,23
Cuiabá Saf - MT,Clayson Henrique da Silva Vieira,Clayson,0
Flamengo - RJ,Cleiton Santana dos Santos,CLEITON,0
Red Bull Bragantino - SP,Cleiton Schwengber,Cleiton,1
Atlético Mineiro - MG,Cristian David Pavon,Pavon,9
Internacional - RS,Dalbert Henrique Chagas Estevão,Dalbert,0
Coritiba S.a.f. - PR,Damian Marcelino Moreno,Marcelino Moreno,0
Atlético Mineiro - MG,Daniel Borges da Silva,Daniel Borges,0
Goiás - GO,Daniel Camargo Nolasco,Nolasco,0
,Daniel de Melo Araujo Junior,Daniel JR,0
Flamengo - RJ,Daniel dos Santos Sales,Daniel Sales,0
,Daniel Felipe Ruiz Rivera,Daniel Ruiz,0
America Saf - MG,Daniel Fortunato Borges,Daniel Borges,0
Flamengo - RJ,Daniel Rogerio de Oliveira,Daniel Rogerio,0
Fluminense - RJ,Daniel Sampaio Simoes,Daniel,0
Athletico Paranaense - PR,Daniel Sergio Martins,Danielzinho,87
Botafogo - RJ,Danilo Barbosa da Silva,Danilo,5
Botafogo - RJ,Danilo das Neves Pinheiro,Tche Tche,6
Bahia - BA,Danilo Fernandes Batista,Danilo Fernandes,0
America Saf - MG,Danilo Fernando Avelar,Danilo,22
Flamengo - RJ,Darlan Batista Cobo da Silva,Darlan,0
,Darlan Pereira Mendes,Darlan,0
Fluminense - RJ,Davi Duarte Schuindt,Davi Schuindt,0
Fluminense - RJ,David Braz de Oliveira Filho,David Braz,44
São Paulo - SP,David Correa da Fonseca,David,22
Bahia - BA,David de Duarte Macedo,David Duarte,0
Palmeiras - SP,David Kauã Ramos,David,0
Flamengo - RJ,David Luiz Moreira Marinho,David Luiz,0
Botafogo - RJ,David Sousa Albino,David Sousa,0
,Deivid Washington de Souza Eugenio,Deivid Washington,0
Cuiabá Saf - MT,Denilson Alves Borges,Denilson,27
Avaí - SC,Denilson Chaves Goulart,Denilson Goulart,0
