Nome,Apelido,Clube
Renato Marques de Oliveira Junior,Renato,America Saf - MG
Renato Santos da Cruz,Renato,Corinthians - SP
Renato Soares de Oliveira Augusto,Renato Augusto,Corinthians - SP
Rene Rodrigues Martins,Rene,Internacional - RS
Renyer Luan de Oliveira Damasceno,Renyer,Santos - SP
Renzo Saravia,Renzo Saravia,Atlético Mineiro - MG
Rever Humberto Alves de Araujo,Rever,Atlético Mineiro - MG
Reynaldo Cesar Moraes,Reynaldo,Coritiba S.a.f. - PR
Rhuan Gabriel Rodrigues de Souza Silva,Rhuan Gabriel,Cruzeiro Saf - MG
Rhuan Lucas Gonçalves da Costa,RHUAN,Botafogo - RJ
Rhyan Luca Carvalho de Arruda,RHYAN,Cuiabá Saf - MT
Ricardo Cesar Dantas da Silva,Ricardo Silva,America Saf - MG
Ricardo Goulart Pereira,Ricardo Goulart,
Ricardo Mathias da Silva,Ricardo,Internacional - RS
Richard Candido Coelho,Richard,
Richard Rios Montoya,Richard Rios,Palmeiras - SP
Rikelme Hernandes Amorim Rocha,RIKELME,Cuiabá Saf - MT
Riquelme de Carvalho Araujo Viana,Riquelme,Vasco da Gama S.a.f. - RJ
Riquelme de Sousa Gomes Inacio,Riquelme,Fortaleza - CE
Riquelme Fillipi Marinho de Souza,Riquelme,Palmeiras - SP
Riquelmy de Oliveira Santos,Riquelmy,Internacional - RS
Robert Abel Arboleda Escobar,Arboleda,São Paulo - SP
Robert Vinicius Rodrigues Silva,Robert,Cruzeiro Saf - MG
Roberto Junior Fernandez Torres,Gatito Fernandes,Botafogo - RJ
Robson Alves de Barros,Robson,Vasco da Gama S.a.f. - RJ
Robson dos Santos Fernandes,Robson,Coritiba S.a.f. - PR
Robson Luiz dos Santos Nascimento,Robson,
Rodrigo Alves de Holanda Santos,Rodrigo,Londrina - PR
Rodrigo Andrés Battaglia,Rodrigo Battaglia,Atlético Mineiro - MG
Rodrigo Caio Coquette Russo,Rodrigo Caio,Flamengo - RJ
Rodrigo Cunha Pereira de Pinho,Rodrigo,Coritiba S.a.f. - PR
Rodrigo Ely,R. Ely,Grêmio - RS
Rodrigo Fernandez Cedres,Rodrigo,Santos - SP
Rodrigo Garcia de Lima Baz de Medeiros,Rodrigo,Flamengo - RJ
Rodrigo Henrique Santos de Souza,Rodrigo,America Saf - MG
Rodrigo Huendra Almeida Mendonça,RODRIGUINHO,São Paulo - SP
Rodrigo Modesto da Silva Moledo,Moledo,Internacional - RS
Rodrigo Nestor Bertalia,Rodrigo Nestor,São Paulo - SP
Rodrigo Santos Varanda,Rodrigo Varanda,America Saf - MG
Roger Gabriel Farias de Jesus,Roger,Bahia - BA
Roger Krug Guedes,Roger Guedes,
Roger Ruan Pereira Santos,Roger Pereira,Bahia - BA
Romulo Helberte Pereira Junior,Rômulo,Atlético Mineiro - MG
Romulo Jose Cardoso da Cruz,Romulo,Athletico Paranaense - PR
Romulo Zanre Zwarg,Romulo,Internacional - RS
Ronald Barbosa Raposo,Ronald,Cuiabá Saf - MT
Ronald Barcellos Arantes,Ronald,
Ronald Cardoso Falkoski,Ronald,Grêmio - RS
Ronald dos Santos Lopes,Ronald,Cuiabá Saf - MT
Roni Medeiros de Moura,Roni,Corinthians - SP
Ronielson da Silva Barbosa,Rony,Palmeiras - SP
Rosicley Pereira da Silva,Rossi,Vasco da Gama S.a.f. - RJ
Ruan de Oliveira Ferreira,RUAN,Corinthians - SP
Ruan Lucas de Assis,Ruan Lucas,Coritiba S.a.f. - PR
Ruan Matheus Rodrigues Santos,Ruan Matheus,Cruzeiro Saf - MG
Ruan Silva Fonseca,RUAN,Cruzeiro Saf - MG
Rubens Antonio Dias,Rubens,Atlético Mineiro - MG
Rwan Philipe Rodrigues de Souza Cruz,Rwan,
Ryan Carlos Santos de Sousa,Ryan,Bahia - BA
Ryan Francisco Rodrigues dos Santos Silva,Ryan Francisco,São Paulo - SP
Ryan Gustavo de Lima,RYAN,Corinthians - SP
Sammuel Queiroz de Freitas,Sammuel,Atlético - GO
Samuel Alves Barroso,SAMUEL ALVES,America Saf - MG
Samuel Xavier Brito,Samuel Xavier,Fluminense - RJ
Sander Henrique Bortolotto,Sander,Goiás - GO
Sandry Roberto Santos Goes,Sandry,Santos - SP
Sebastian Gomez Londono,Sebastian Gomez,Coritiba S.a.f. - PR
Sergio Antonio da Luz Junior,Serginho,Vasco da Gama S.a.f. - RJ
Sergio Ramon Rochet Alvarez,Rochet,Internacional - RS
Severino do Ramo Clementino da Silva,Nino Paraiba,Paysandu - PA
Sidimar Fernando Cigolini,Sidimar,Goiás - GO
Sidney de Carvalho Duarte,Sidney,Bahia - BA
Silvio Ezequiel Romero,Silvio Romero,Fortaleza - CE
Stenio Zanetti Toledo,Stênio,Cruzeiro Saf - MG
Tadeu Antonio Ferreira,Tadeu,Goiás - GO
Talisson de Almeida,Talisson,Red Bull Bragantino - SP
Talles Macedo Toledo Costa,Talles Costa,São Paulo - SP
Talles Wander Santos Ribeiro,Talles,São Paulo - SP
Tarcisio Lopes Dionizio Muniz,Tarcisio,Cuiabá Saf - MT
Tauan Gabriel da Silva Santos,TAUAN,Cuiabá Saf - MT
Thaciano Mickael da Silva,Thaciano,Bahia - BA
Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,Coritiba S.a.f. - PR
Thalys Henrique Gomes de Araujo,THALYS,Palmeiras - SP
Thauan Lara dos Santos,THAUAN LARA,Internacional - RS
Thiago Beltrame Stallbaum,Thiago Beltrame,Grêmio - RS
Thiago Dombroski Moreira,Thiago Dombroski,Coritiba S.a.f. - PR
Thiago dos Santos,Thiago Santos,Fluminense - RJ
Thiago Eduardo de Andrade,Thiago,Athletico Paranaense - PR
Thiago Galhardo do Nascimento Rocha,Thiago Galhardo,Fortaleza - CE
Thiago Heleno Henrique Ferreira,Thiago Heleno,Athletico Paranaense - PR
Thiago Henrique Gonçalves Silva,Thiago,Fluminense - RJ
Thiago Maia Alencar,Thiago Maia,Flamengo - RJ
Thiago Nicolas Borbas Silva,Thiago Borbas,Red Bull Bragantino - SP
Thomas Luciano Trindade Lopes Mathias,Thomas Luciano,
Thomas Rafael Gonçalves Lisboa,Thomas,Corinthians - SP
Thomas Ubisk da Silva,THOMAS,Cuiabá Saf - MT
Tiago Gomes dos Santos,Tiago Gomes,Bahia - BA
Tiago Souza de Jesus Carvalho,Tiago,Bahia - BA
Titto Teles Vasconcelos Mattos,TITTO,Cuiabá Saf - MT
Tobias Pereira Figueiredo,Tobias,Fortaleza - CE
Tomás Eduardo Rincón Hernández,Tomás Rincón,Santos - SP
Tomas Esteban Cuello,Cuello,Athletico Paranaense - PR
Tomas Pochettino,Pochettino,Fortaleza - CE
Uendel Pereira Goncalves,Uendel,Cuiabá Saf - MT
Uilson de Souza Paula Junior,Junior Caiçara,Santos - SP
Valentín Nicolás Adamo Reyes,Valentín Adamo,Botafogo - RJ
Vanderlan Barbosa da Silva,Vanderlan,Palmeiras - SP
Victor Araujo de Alencar Oliveira,Victor Araujo,Vasco da Gama S.a.f. - RJ
Victor Danilo Cantillo Jimenez,Cantillo,Corinthians - SP
Victor de Oliveira Souza Silva,Vitinho,Corinthians - SP
Victor Hugo da Silva Costa,Vitinho,
Victor Hugo Gomes Silva,Victor Hugo,Flamengo - RJ
Victor Hugo Soares dos Santos,Kanu,Bahia - BA
Victor Leandro Cuesta,Victor Cuesta,Botafogo - RJ
Victor Luis Chuab Zamblauskas,Victor,Coritiba S.a.f. - PR
Victor Matheus dos Santos Gonçalves,Victor Matheus,Cuiabá Saf - MT
Victor Yan Souza Santos,Victor Yan,
Viery Fernandes Santos Lopes,Viery,Grêmio - RS
Vinicius Alessandro Mingotti,Mingotti,Bahia - BA
Vinicius Balieiro Lourenco de Carvalho,Vinicius,Ituano - SP
Vinicius Cressi,Vinicius,Corinthians - SP
Vinicius de Souza Alves,Vinicius Souza,Internacional - RS
Vinicius Dorneles Teixeira,Vinicius Dorneles,Cuiabá Saf - MT
Vinicius dos Santos de Oliveira Paiva,Vinicius,
Vinicius Goes Barbosa de Souza,Vina,
Vinicius Gonçalves Boff,Vinicius,Pouso Alegre - MG
Vinicius Kaue Ribeiro Ferreira,Vinícius Kauê,Athletico Paranaense - PR
Vinicius Mendonca Pereira,Vinicinho,Red Bull Bragantino - SP
Vinicius Moreira de Lima,Lima,Fluminense - RJ
Vinicius Nelson de Souza Zanocelo,Zanocelo,Fortaleza - CE
Vinicius Pasquini Peruchi,PERUCHI,Cuiabá Saf - MT
Vinicius Rangel da Silva,Vinicius Rangel,
Vinicius Rodrigues Adelino dos Santos,Vinicius,Goiás - GO
Vinicius Santos Silva,Vinicius,Goiás - GO
Vinicius Silvestre da Costa,Vinicius,
Vinicius Teodoro Barreta Melo,Vinicius,Cuiabá Saf - MT
Vitor Alves Meer,Vitor Meer,Corinthians - SP
Vitor de Oliveira Nunes dos Reis,Vitor Reis,Palmeiras - SP
Vitor dos Santos Figueiredo,Figueiredo,Palmeiras - SP
Vitor Eduardo da Silva Matos,Vitão,Internacional - RS
Vitor Eudes de Souza Costa,Vitor Eudes,Fluminense - RJ
Vitor Frezarin Bueno,Vitor Bueno,Athletico Paranaense - PR
Vitor Gabriel Reis Guimaraes,Vitor Gabriel,Atlético Mineiro - MG
Vitor Hugo Amorim de Assis,Vitor Hugo,Cruzeiro Saf - MG
Vitor Hugo Franchescoli de Souza,Vitor Hugo,Bahia - BA
Vitor Hugo Morais de Oliveira,Sapata,Botafogo - RJ
Vitor Hugo Naum dos Santos,Vitinho,Red Bull Bragantino - SP
Vitor Hugo Roque Ferreira,Vitor Roque,Athletico Paranaense - PR
Vitor Hugo Santos Graziani,Vitor Graziani,Atlético Mineiro - MG
Vitor Mendes Alves,Vitor Mendes,Fluminense - RJ
Vladimir Orlando Cardoso de Araujo Filho,Vladimir,Santos - SP
Walce da Silva Costa Filho,Walce,São Paulo - SP
Wallace Yan de Souza Barreto,Wallace Yan,Flamengo - RJ
Wallison Nunes Silva,Wallison,Botafogo - RJ
Wallisson Luiz Alves Maximo,Wallisson,
Walter Kannemann,Kannemann,Grêmio - RS
Walter Leandro Capeloza Artune,Walter,Cuiabá Saf - MT
Wanderson Maciel Sousa Campos,WANDERSON,Internacional - RS
Wanderson Santos Pereira,Wanderson,America Saf - MG
Washington Omar Aguerre Lima,Aguerre,America Saf - MG
Welington Damascena Santos,Welington,São Paulo - SP
Wellington Alves da Silva,Wellington Silva,Cuiabá Saf - MT
Wellington Pereira do Nascimento,Wellington Paulista,America Saf - MG
Wellington Soares da Silva,Wellington Rato,São Paulo - SP
Wendel Santana Franca,Wendel Canela,Bahia - BA
Wendell Silva Santos dos Santos,Wendell,
Werik Silva Pinto,Werik Popó,
Werton de Almeida Rego,Werton,Flamengo - RJ
Wesley Costa da Silva,Wesley,Grêmio - RS
Wesley da Conceicao Duarte Moreira,Wesley Pomba,Ituano - SP
Wesley David de Oliveira Andrade,Wesley,Cruzeiro Saf - MG
Wesley Gabriel Freire Arcanjo,Wesley,Red Bull Bragantino - SP
Wesley Gassova Ribeiro Teixeira,Wesley,Corinthians - SP
Wesley Ribeiro Silva,Wesley Ribeiro Silva,Cruzeiro Saf - MG
Wesley Vinicius França Lima,Wesley,Flamengo - RJ
Weslley Pinto Batista,Weslley,Santos - SP
Weverton Pereira da Silva,Weverton,Palmeiras - SP
Weverton Silva de Andrade,Weverton,Cruzeiro Saf - MG
William de Asevedo Furtado,William,Cruzeiro Saf - MG
William Gomes Carvalho Santos,William,São Paulo - SP
Willian Gomes de Siqueira,Willian,Athletico Paranaense - PR
Willian Osmar de Oliveira Silva,Willian Oliveira,Goiás - GO
Willian Roberto de Farias,Willian Farias,Coritiba S.a.f. - PR
Yago Felipe da Costa Rocha,Yago Felipe,Bahia - BA
Yago Santos de Andrade,Yago,America Saf - MG
Yago Souza de Santana,Yago,America Saf - MG
Yan Philipe Oliveira Lemos,Yan Philipe,Atlético Mineiro - MG
Yani David Quintero Rivas,Yani Quintero,Red Bull Bragantino - SP
Yarlen Faustino Augusto,YARLEN,Botafogo - RJ
Yeferson Julio Soteldo Martinez,Yeferson Soteldo,Santos - SP
Yony Alexander Gonzalez Copete,Yony Gonzalez,Fluminense - RJ
Young Navarro Moraes,Yang,São Paulo - SP
Ythallo Ryckelm Rodrigues de Oliveira,Ythallo,São Paulo - SP
Yuri Alberto Monteiro da Silva,Yuri Alberto,Corinthians - SP
