Nome,Apelido,Clube
Daniel de Melo Araujo Junior,Daniel JR,
Daniel dos Santos Sales,Daniel Sales,Flamengo - RJ
Daniel Felipe Ruiz Rivera,Daniel Ruiz,
Daniel Fortunato Borges,Daniel Borges,America Saf - MG
Daniel Rogerio de Oliveira,Daniel Rogerio,Flamengo - RJ
Daniel Sampaio Simoes,Daniel,Fluminense - RJ
Daniel Sergio Martins,Danielzinho,Athletico Paranaense - PR
Danilo Barbosa da Silva,Danilo,Botafogo - RJ
Danilo das Neves Pinheiro,Tche Tche,Botafogo - RJ
Danilo Fernandes Batista,Danilo Fernandes,Bahia - BA
Danilo Fernando Avelar,Danilo,America Saf - MG
Darlan Batista Cobo da Silva,Darlan,Flamengo - RJ
Darlan Pereira Mendes,Darlan,
Davi Duarte Schuindt,Davi Schuindt,Fluminense - RJ
David Braz de Oliveira Filho,David Braz,Fluminense - RJ
David Correa da Fonseca,David,São Paulo - SP
David de Duarte Macedo,David Duarte,Bahia - BA
David Kauã Ramos,David,Palmeiras - SP
David Luiz Moreira Marinho,David Luiz,Flamengo - RJ
David Sousa Albino,David Sousa,Botafogo - RJ
Deivid Washington de Souza Eugenio,Deivid Washington,
Denilson Alves Borges,Denilson,Cuiabá Saf - MT
Denilson Chaves Goulart,Denilson Goulart,Avaí - SC
Denzel Nogueira Damasceno,DENZEL,Goiás - GO
Derik Gean Severino Lacerda,DERIK,Cuiabá Saf - MT
Deyverson Brum Silva,Deyverson,Cuiabá Saf - MT
Diego da Silva Costa,Diego Costa,Botafogo - RJ
Diego Damasceno dos Santos,Diego Santos,Flamengo - RJ
Diego de Souza Andrade,Diego Souza,Sport - PE
Diego Fernandes Simoes,Diego Fernandes,Atlético Mineiro - MG
Diego Gabriel Silva Rosa,Diego Rosa,Bahia - BA
Diego Goncalves,Diego,Goiás - GO
Diego Henrique Costa Barbosa,Diego,São Paulo - SP
Diego Manuel Hernandez Gonzalez,Diego Hernandez,Botafogo - RJ
Dimitri Payet,Payet,Vasco da Gama S.a.f. - RJ
Diogenes Vinicius da Silva,Diogenes,Santos - SP
Diogo Barbosa Mendanha,Diogo Barbosa,Fluminense - RJ
Diogo Batista de Souza,Diogo Batista,Coritiba S.a.f. - PR
Diogo de Oliveira Barbosa,Diogo,Coritiba S.a.f. - PR
Dorival Silva de Oliveira,DORIVAL,Cruzeiro Saf - MG
Douglas Borges,Douglas,Guarani - SP
Douglas Moreira Fagundes,Dodi,Santos - SP
Dyego Luis da Paz Nascimento,Dyego,Cuiabá Saf - MT
Dylan Antonio Talero Arredondo,Dylan,Botafogo - RJ
Eberth Araujo Nogueira,Eberth,Coritiba S.a.f. - PR
Ed Carlos de Arruda Amorim,Ed Carlos,Santos - SP
Edenilson Andrade dos Santos,Edenilson,Atlético Mineiro - MG
Eder Ferreira Graminho,Eder,America Saf - MG
Eder Maciel Lopes,Edinho,Avaí - SC
Edivan Vitor da Silva Junior,Juninho,Bahia - BA
Edney Henrique Santos da Silva,EDNEY,Palmeiras - SP
Eduard Andres Atuesta Velasco,Atuesta,Palmeiras - SP
Eduardo Colcenti Antunes,Eduardo Sasha,Red Bull Bragantino - SP
Eduardo Fernandes Rodrigues de Souza,Eduardo,Botafogo - RJ
Eduardo Gabriel dos Santos Bauermann,Eduardo,
Eduardo Gonzaga Mendes Santos,Eduardo,Red Bull Bragantino - SP
Eduardo Jesus Vargas Rojas,Vargas,Atlético Mineiro - MG
Eduardo Kogitzki Anastacio,Dudu,Athletico Paranaense - PR
Eduardo Nascimento da Silva Junior,Edu,Coritiba S.a.f. - PR
Eduardo Pereira Rodrigues,Dudu,Palmeiras - SP
Eduardo Santos Queiroz,Eduardo Santos Queiroz,
Eduardo Simioni,Simioni,Goiás - GO
Eduardo Vinicius Rodrigues dos Santos,Eduardo,Cuiabá Saf - MT
Eguinaldo de Sousa Lemos,Eguinaldo,
Emanuel Britez,Britez,Fortaleza - CE
Emanuel Pereira dos Santos,Emanuel Pereira,
Emerson Fabiano Kerber Junior,Emerson Junior,Internacional - RS
Emerson Ramon Bezerra Oliveira,Emerson,Cuiabá Saf - MT
Emersonn Correia da Silva,Emersonn,Athletico Paranaense - PR
Endrick Felipe Moreira de Sousa,Endrick,Palmeiras - SP
Enner Remberto Valencia Lastra,Valencia,Internacional - RS
Eric dos Santos do Carmo,Eric,Bahia - BA
Eric dos Santos Rodrigues,Eric Ramires,Red Bull Bragantino - SP
Erick Antonio Pulgar Farfan,Erick Pulgar,Flamengo - RJ
Erick Luis Conrado Carvalho,Erick,Athletico Paranaense - PR
Erick Marcus dos Santos Oliveira do Carmo,Erick Marcus,Vasco da Gama S.a.f. - RJ
Erick Nunes Barbosa dos Santos,Erick,Fluminense - RJ
Erison Danilo de Souza,Erison,São Paulo - SP
Esteban Rodrigo Burgos,Esteban Burgos,America Saf - MG
Estevao Barreto de Oliveira,Estevao,Internacional - RS
Estevao Willian Almeida de Oliveira Goncalves,Estevão,Palmeiras - SP
Euder Galdino da Silva,Euder,Flamengo - RJ
Everaldo Silva do Nascimento,Everaldo,America Saf - MG
Everaldo Stum,Everaldo,Bahia - BA
Everson Felipe Marques Pires,Everson,Atlético Mineiro - MG
Everton Augusto de Barros Ribeiro,Éverton Ribeiro,Flamengo - RJ
Everton Galdino Moreira,Galdino,Grêmio - RS
Everton Macedo Moraes,Everton,Londrina - PR
Everton Morelli Casimiro,Morelli,Goiás - GO
Everton Sousa Soares,Everton,Flamengo - RJ
Everton Tiago Barella de Souza Messias,Everton,Red Bull Bragantino - SP
Evertton Gustavo Fernandes Araujo,Evertton,Flamengo - RJ
Ezequiel Alves de Oliveira Vieira,Ezequiel,Goiás - GO
Fabian Cornelio Balbuena Gonzalez,Balbuena,
Fabiano Rodrigues Pereira,Fabiano,Botafogo - RJ
Fabio Deivson Lopes Maciel,Fabio,Fluminense - RJ
Fabio Pereira da Silva,Fabio,Grêmio - RS
Fabio Santos Romeu,Fabio Santos,Corinthians - SP
Fabio Silva de Freitas,Fabinho,Palmeiras - SP
Fabricio Bruno Soares de Faria,Fabricio Bruno,Flamengo - RJ
Fabrício Dias Afonso,Fabrício,Fortaleza - CE
Fabricio Oliveira de Souza,Fabricio,Red Bull Bragantino - SP
Fabricio Tomas Bustos Sein,BUSTOS,Internacional - RS
Fagner Conserva Lemos,Fagner,Corinthians - SP
Fausto Mariano Vera,Fausto,Corinthians - SP
Federico Matias Zaracho,Zaracho,Atlético Mineiro - MG
Felipe Alves Raymundo,Felipe,São Paulo - SP
Felipe Augusto da Silva,Felipe Augusto,Corinthians - SP
Felipe Azevedo dos Santos,Felipe Azevedo,America Saf - MG
Felipe Chiqueti Bandeira,Chiqueti,Athletico Paranaense - PR
Felipe de Almeida Lima,Felipe,Flamengo - RJ
Felipe de Andrade Vieira,Felipe Andrade,Fluminense - RJ
Felipe de Souza Motta Marins,Felipe Motta,Red Bull Bragantino - SP
Felipe Gabriel Cunha Teresa,FELIPE GABRIEL,Flamengo - RJ
Felipe Ignacio Carballo Ares,Carballo,Grêmio - RS
Felipe Jonatan Rocha Andrade,Felipe,Santos - SP
Felipe Longo Fernandes da Silva,FELIPE,Corinthians - SP
Felipe Mateus Scheibig,Felipe,Grêmio - RS
Felipe Melo de Carvalho,Felipe Melo,Fluminense - RJ
Felipe Negrucci Berdague,Felipe,São Paulo - SP
Fellipe Ramos Ignez Bastos,Fellipe Bastos,Avaí - SC
Fernando Augusto Pereira Bueno Junior,Fernando,Athletico Paranaense - PR
Fernando Henrique do Nascimento Pereira,Fernando,Cruzeiro Saf - MG
Fernando Luiz Roza,Fernandinho,Athletico Paranaense - PR
Fernando Marcal de Oliveira,Marcal,Botafogo - RJ
Fernando Miguel Kaufmann,Fernando Miguel,Fortaleza - CE
Fernando Nava Ortega,Fernando Nava,Athletico Paranaense - PR
Fernando Pereira do Nascimento,Fernando,Cuiabá Saf - MT
Filipe Augusto Carvalho Souza,Filipe Augusto,Cuiabá Saf - MT
Filipe Luis Kasmirski,Filipe Luís,Flamengo - RJ
