NPartida,Clube,Apelido,Momento,Nome,Camisa,id
12,Palmeiras - SP,Artur,17' (2ºT),Artur Victor Guimaraes,14.0,72.0
12,Palmeiras - SP,Rafael Navarro,45+1' (1ºT),,,
13,São Paulo - SP,Luciano,20' (1ºT),Luciano da Rocha Neves,10.0,642.0
13,São Paulo - SP,Marcos Paulo,45+5' (2ºT),Marcos Paulo Costa do Nascimento,32.0,691.0
13,São Paulo - SP,Calleri,37' (2ºT),Jonathan Calleri,9.0,498.0
15,Goiás - GO,Halter,35' (2ºT),Lucas Halter,3.0,623.0
15,Goiás - GO,Apodi,45+4' (2ºT),Luiz Diallisson de Souza Alves,22.0,662.0
15,Goiás - GO,Matheus Peixoto,30' (1ºT),,,
15,Corinthians - SP,Roger Guedes,16' (1ºT),,,
16,Cruzeiro Saf - MG,Bruno Rodrigues,19' (2ºT),Bruno Rafael Rodrigues do Nascimento,9.0,106.0
17,Internacional - RS,Mauricio,21' (2ºT),Mauricio Magalhaes Prado,27.0,756.0
17,Internacional - RS,Mauricio,45+8' (2ºT),Mauricio Magalhaes Prado,27.0,756.0
17,Flamengo - RJ,Gerson,17' (2ºT),Gerson Santos da Silva,20.0,325.0
18,Fortaleza - CE,Silvio Romero,6' (2ºT),Silvio Ezequiel Romero,18.0,947.0
18,Fortaleza - CE,Yago,37' (2ºT),Glaybson Yago Souza Lisbôa,22.0,336.0
18,Fortaleza - CE,Yago,45' (2ºT),Glaybson Yago Souza Lisbôa,22.0,336.0
19,Botafogo - RJ,Tche Tche,32' (2ºT),Danilo das Neves Pinheiro,6.0,162.0
19,Botafogo - RJ,Junior,28' (1ºT),Jose Antonio dos Santos Junior,37.0,503.0
20,Cuiabá Saf - MT,Matheusinho,22' (2ºT),Mateus da Silva Duarte,98.0,709.0
20,Red Bull Bragantino - SP,Thiago Borbas,40' (2ºT),Thiago Nicolas Borbas Silva,18.0,967.0
21,Flamengo - RJ,Leo Pereira,13' (2ºT),Leonardo Pereira,4.0,581.0
21,Flamengo - RJ,Leo Pereira,40' (2ºT),Leonardo Pereira,4.0,581.0
21,Botafogo - RJ,Danilo,45+4' (1ºT),Danilo Barbosa da Silva,5.0,161.0
21,Botafogo - RJ,Tiquinho,29' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
21,Botafogo - RJ,Tiquinho,25' (2ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
23,Palmeiras - SP,Murilo,15' (1ºT),Murilo Cerqueira Paim,26.0,771.0
23,Palmeiras - SP,Raphael Veiga,35' (1ºT),Raphael Cavalcante Veiga,0.0,862.0
23,Palmeiras - SP,Joaquin Piquerez,31' (2ºT),Joaquin Piquerez Moreira,22.0,493.0
24,Santos - SP,Eduardo,40' (1ºT),,,
24,Santos - SP,Mendoza,18' (1ºT),John Steven Mendoza Valencia,0.0,495.0
24,Santos - SP,Marcos Leonardo,24' (2ºT),Marcos Leonardo Santos Almeida,9.0,689.0
24,America Saf - MG,Ale,7' (1ºT),Alexandre Egea,16.0,30.0
24,America Saf - MG,Everaldo,4' (2ºT),Everaldo Silva do Nascimento,37.0,236.0
25,Cruzeiro Saf - MG,Ramiro,1' (1ºT),Ramiro Moschen Benetti,17.0,859.0
