Numero,Mandante,Visitante,PontosMandante,PontosVisitante,Local,Data
1,Flamengo - RJ,Coritiba S.a.f. - PR,3.0,0.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 16 de Abril de 2023 16:00"
2,Botafogo - RJ,São Paulo - SP,2.0,1.0,Nilton Santos - Rio de Janeiro - RJ,"Sábado, 15 de Abril de 2023 18:30"
3,Palmeiras - SP,Cuiabá Saf - MT,2.0,1.0,Allianz Parque - Sao Paulo - SP,"Sábado, 15 de Abril de 2023 16:00"
4,Corinthians - SP,Cruzeiro Saf - MG,2.0,1.0,Neo Química Arena - Sao Paulo - SP,"Domingo, 16 de Abril de 2023 16:00"
5,Red Bull Bragantino - SP,Bahia - BA,2.0,1.0,Nabi Abi Chedid - Braganca Paulista - SP,"Sábado, 15 de Abril de 2023 18:30"
6,Atlético Mineiro - MG,Vasco da Gama S.a.f. - RJ,1.0,2.0,Mineirão - Belo Horizonte - MG,"Sábado, 15 de Abril de 2023 21:00"
7,Grêmio - RS,Santos - SP,1.0,0.0,Alfredo Jaconi - Caxias do Sul - RS,"Domingo, 16 de Abril de 2023 18:30"
8,Athletico Paranaense - PR,Goiás - GO,2.0,0.0,Ligga Arena - Curitiba - PR,"Sábado, 15 de Abril de 2023 18:30"
9,Fortaleza - CE,Internacional - RS,1.0,1.0,Arena Castelão - Fortaleza - CE,"Sábado, 15 de Abril de 2023 18:30"
10,America Saf - MG,Fluminense - RJ,0.0,3.0,Independência - Belo Horizonte - MG,"Sábado, 15 de Abril de 2023 16:00"
11,Fluminense - RJ,Athletico Paranaense - PR,2.0,0.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 22 de Abril de 2023 16:00"
12,Vasco da Gama S.a.f. - RJ,Palmeiras - SP,2.0,2.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 23 de Abril de 2023 16:00"
13,São Paulo - SP,America Saf - MG,3.0,0.0,Morumbi - Sao Paulo - SP,"Sábado, 22 de Abril de 2023 18:30"
14,Santos - SP,Atlético Mineiro - MG,0.0,0.0,Vila Belmiro - Santos - SP,"Domingo, 23 de Abril de 2023 16:00"
15,Goiás - GO,Corinthians - SP,3.0,1.0,Hailé Pinheiro - Goiania - GO,"Domingo, 23 de Abril de 2023 19:00"
16,Cruzeiro Saf - MG,Grêmio - RS,1.0,0.0,Independência - Belo Horizonte - MG,"Sábado, 22 de Abril de 2023 21:00"
17,Internacional - RS,Flamengo - RJ,2.0,1.0,Beira-Rio - Porto Alegre - RS,"Domingo, 23 de Abril de 2023 11:00"
18,Coritiba S.a.f. - PR,Fortaleza - CE,0.0,3.0,Couto Pereira - Curitiba - PR,"Domingo, 23 de Abril de 2023 18:30"
19,Bahia - BA,Botafogo - RJ,1.0,2.0,Arena Fonte Nova - Salvador - BA,"Segunda, 24 de Abril de 2023 20:00"
20,Cuiabá Saf - MT,Red Bull Bragantino - SP,1.0,1.0,Arena Pantanal - Cuiaba - MT,"Sábado, 22 de Abril de 2023 18:30"
21,Flamengo - RJ,Botafogo - RJ,2.0,3.0,Maracanã - Rio de Janeiro - RJ,"Domingo, 30 de Abril de 2023 16:00"
22,Vasco da Gama S.a.f. - RJ,Bahia - BA,0.0,1.0,São Januário - Rio de Janeiro - RJ,"Segunda, 01 de Maio de 2023 20:00"
23,Palmeiras - SP,Corinthians - SP,2.0,1.0,Allianz Parque - Sao Paulo - SP,"Sábado, 29 de Abril de 2023 18:30"
24,Santos - SP,America Saf - MG,3.0,2.0,Vila Belmiro - Santos - SP,"Sábado, 29 de Abril de 2023 18:30"
25,Red Bull Bragantino - SP,Cruzeiro Saf - MG,0.0,3.0,Nabi Abi Chedid - Braganca Paulista - SP,"Sábado, 29 de Abril de 2023 18:30"
26,Atlético Mineiro - MG,Athletico Paranaense - PR,2.0,1.0,Independência - Belo Horizonte - MG,"Sábado, 29 de Abril de 2023 21:00"
27,Internacional - RS,Goiás - GO,1.0,0.0,Beira-Rio - Porto Alegre - RS,"Domingo, 30 de Abril de 2023 18:30"
28,Coritiba S.a.f. - PR,São Paulo - SP,1.0,1.0,Couto Pereira - Curitiba - PR,"Sábado, 29 de Abril de 2023 16:30"
29,Fortaleza - CE,Fluminense - RJ,4.0,2.0,Arena Castelão - Fortaleza - CE,"Sábado, 29 de Abril de 2023 16:30"
30,Cuiabá Saf - MT,Grêmio - RS,1.0,2.0,Arena Pantanal - Cuiaba - MT,"Domingo, 30 de Abril de 2023 18:30"
31,Fluminense - RJ,Vasco da Gama S.a.f. - RJ,1.0,1.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 06 de Maio de 2023 21:00"
32,Botafogo - RJ,Atlético Mineiro - MG,2.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Domingo, 07 de Maio de 2023 18:30"
33,São Paulo - SP,Internacional - RS,2.0,0.0,Morumbi - Sao Paulo - SP,"Domingo, 07 de Maio de 2023 16:00"
34,Corinthians - SP,Fortaleza - CE,1.0,1.0,Neo Química Arena - Sao Paulo - SP,"Segunda, 08 de Maio de 2023 20:00"
35,Goiás - GO,Palmeiras - SP,0.0,5.0,Hailé Pinheiro - Goiania - GO,"Domingo, 07 de Maio de 2023 18:30"
36,Cruzeiro Saf - MG,Santos - SP,2.0,1.0,Independência - Belo Horizonte - MG,"Sábado, 06 de Maio de 2023 16:00"
37,Grêmio - RS,Red Bull Bragantino - SP,3.0,3.0,Arena do Grêmio - Porto Alegre - RS,"Domingo, 07 de Maio de 2023 18:30"
38,Athletico Paranaense - PR,Flamengo - RJ,2.0,1.0,Ligga Arena - Curitiba - PR,"Domingo, 07 de Maio de 2023 16:00"
39,Bahia - BA,Coritiba S.a.f. - PR,3.0,1.0,Arena Fonte Nova - Salvador - BA,"Domingo, 07 de Maio de 2023 16:00"
40,America Saf - MG,Cuiabá Saf - MT,1.0,2.0,Independência - Belo Horizonte - MG,"Domingo, 07 de Maio de 2023 11:00"
41,Flamengo - RJ,Goiás - GO,2.0,0.0,Maracanã - Rio de Janeiro - RJ,"Quarta, 10 de Maio de 2023 20:00"
42,Botafogo - RJ,Corinthians - SP,3.0,0.0,Nilton Santos - Rio de Janeiro - RJ,"Quinta, 11 de Maio de 2023 19:30"
43,Palmeiras - SP,Grêmio - RS,4.0,1.0,Allianz Parque - Sao Paulo - SP,"Quarta, 10 de Maio de 2023 21:30"
44,Santos - SP,Bahia - BA,3.0,0.0,Vila Belmiro - Santos - SP,"Quarta, 10 de Maio de 2023 19:00"
45,Red Bull Bragantino - SP,America Saf - MG,2.0,2.0,Nabi Abi Chedid - Braganca Paulista - SP,"Quarta, 10 de Maio de 2023 19:00"
46,Cruzeiro Saf - MG,Fluminense - RJ,0.0,2.0,Mineirão - Belo Horizonte - MG,"Quarta, 10 de Maio de 2023 21:30"
47,Internacional - RS,Athletico Paranaense - PR,0.0,2.0,Beira-Rio - Porto Alegre - RS,"Quarta, 10 de Maio de 2023 19:00"
48,Coritiba S.a.f. - PR,Vasco da Gama S.a.f. - RJ,1.0,1.0,Couto Pereira - Curitiba - PR,"Quinta, 11 de Maio de 2023 19:00"
49,Fortaleza - CE,São Paulo - SP,0.0,0.0,Arena Castelão - Fortaleza - CE,"Quinta, 11 de Maio de 2023 20:00"
50,Cuiabá Saf - MT,Atlético Mineiro - MG,0.0,4.0,Arena Pantanal - Cuiaba - MT,"Quarta, 10 de Maio de 2023 20:00"
51,Fluminense - RJ,Cuiabá Saf - MT,2.0,0.0,Maracanã - Rio de Janeiro - RJ,"Sábado, 13 de Maio de 2023 18:30"
52,Vasco da Gama S.a.f. - RJ,Santos - SP,0.0,1.0,São Januário - Rio de Janeiro - RJ,"Domingo, 14 de Maio de 2023 16:00"
53,Palmeiras - SP,Red Bull Bragantino - SP,1.0,1.0,Allianz Parque - Sao Paulo - SP,"Sábado, 13 de Maio de 2023 18:30"
54,Corinthians - SP,São Paulo - SP,1.0,1.0,Neo Química Arena - Sao Paulo - SP,"Domingo, 14 de Maio de 2023 16:00"
55,Goiás - GO,Botafogo - RJ,2.0,1.0,Hailé Pinheiro - Goiania - GO,"Domingo, 14 de Maio de 2023 18:30"
56,Atlético Mineiro - MG,Internacional - RS,2.0,0.0,Mineirão - Belo Horizonte - MG,"Sábado, 13 de Maio de 2023 21:00"
57,Grêmio - RS,Fortaleza - CE,0.0,0.0,Arena do Grêmio - Porto Alegre - RS,"Domingo, 14 de Maio de 2023 16:00"
58,Athletico Paranaense - PR,Coritiba S.a.f. - PR,3.0,2.0,Ligga Arena - Curitiba - PR,"Domingo, 14 de Maio de 2023 18:30"
