NPartida,Nome,Funcao
17,Rodolpho Toski Marques (VAR-FIFA),Árbitro de Vídeo
17,Frederico Soares Vilarinho,AVAR
17,Diego Pombo Lopez,Assistente de Árbitro de Vídeo 2
17,Pericles Bassols Pegado Cortez,Observador de VAR
18,Wilton Pereira Sampaio (FIFA),Árbitro
18,Leila Naiara Moreira da Cruz (FIFA),Árbitro Assistente 1
18,Leone Carvalho Rocha,Árbitro Assistente 2
18,Leonardo Ferreira Lima,Quarto Árbitro
18,Carlos Augusto Nogueira Junior,Assessor
18,Rodrigo Nunes de Sa (VAR-FIFA),Árbitro de Vídeo
18,Lilian da Silva Fernandes Bruno,AVAR
18,Luiz Flavio de Oliveira,Assistente de Árbitro de Vídeo 2
18,Claudio Jose de Oliveira Soares,Observador de VAR
19,Raphael Claus (FIFA),Árbitro
19,Danilo Ricardo Simon Manis (FIFA),Árbitro Assistente 1
19,Victor Hugo Imazu dos Santos,Árbitro Assistente 2
19,Josue Reis de Jesus Junior,Quarto Árbitro
19,Silvia Regina de Oliveira,Assessor
19,Thiago Duarte Peixoto,Árbitro de Vídeo
19,Fabio Rogerio Baesteiro,AVAR
19,Paulo Henrique Schleich Vollkopf,Assistente de Árbitro de Vídeo 2
19,Rodrigo Pereira Joia,Observador de VAR
20,Caio Max Augusto Vieira,Árbitro
20,Ivan Carlos Bohn,Árbitro Assistente 1
20,Rafael Trombeta,Árbitro Assistente 2
20,Leonardo Willers Lorenzatto,Quarto Árbitro
20,Simone Xavier de Paula E Silva,Assessor
20,Pablo Ramon Goncalves Pinheiro (VAR-FIFA),Árbitro de Vídeo
20,Andre da Silva Bitencourt,AVAR
20,Antonio Dib Moraes de Sousa,Assistente de Árbitro de Vídeo 2
20,Ricardo Marques Ribeiro,Observador de VAR
21,Edina Alves Batista (FIFA),Árbitro
21,Neuza Ines Back (FIFA),Árbitro Assistente 1
21,Leila Naiara Moreira da Cruz (FIFA),Árbitro Assistente 2
21,Rafael Martins de Sa,Quarto Árbitro
21,Cleidy Mary dos Santos Nunes Ribeiro,Assessor
21,Daiane Caroline Muniz dos Santos (FIFA),Árbitro de Vídeo
21,Fabricio Porfirio de Moura,AVAR
21,Gilberto Rodrigues Castro Junior,Assistente de Árbitro de Vídeo 2
21,Emerson Augusto de Carvalho,Observador de VAR
22,Flavio Rodrigues de Souza (FIFA),Árbitro
22,Marcelo Carvalho Van Gasse,Árbitro Assistente 1
22,Fabrini Bevilaqua Costa (FIFA),Árbitro Assistente 2
22,Tarcizo Pinheiro Caetano,Quarto Árbitro
22,Cleiber Elias Leite,Assessor
22,Daniel Nobre Bins (VAR-FIFA),Árbitro de Vídeo
22,Vitor Carmona Metestaine,AVAR
22,Maguielson Lima Barbosa,Assistente de Árbitro de Vídeo 2
22,Emerson Augusto de Carvalho,Observador de VAR
23,Wilton Pereira Sampaio (FIFA),Árbitro
23,Guilherme Dias Camilo (FIFA),Árbitro Assistente 1
23,Nailton Junior de Sousa Oliveira (FIFA),Árbitro Assistente 2
23,Douglas Marques das Flores,Quarto Árbitro
23,Claudio Jose de Oliveira Soares,Assessor
23,Pablo Ramon Goncalves Pinheiro (VAR-FIFA),Árbitro de Vídeo
23,Flavio Gomes Barroca,AVAR
23,Douglas Schwengber da Silva,Assistente de Árbitro de Vídeo 2
23,Pericles Bassols Pegado Cortez,Observador de VAR
24,Anderson Daronco (FIFA),Árbitro
24,Rafael da Silva Alves (FIFA),Árbitro Assistente 1
24,Lucio Beiersdorf Flor,Árbitro Assistente 2
24,Matheus Delgado Candançan,Quarto Árbitro
24,Raimundo Nonato Lopo de Abreu,Assessor
24,Rafael Traci (VAR-FIFA),Árbitro de Vídeo
24,Silbert Faria Sisquim,AVAR
24,Lucas Paulo Torezin,Assistente de Árbitro de Vídeo 2
24,Hilton Moutinho Rodrigues,Observador de VAR
25,Braulio da Silva Machado (FIFA),Árbitro
25,Eder Alexandre,Árbitro Assistente 1
25,Alex dos Santos,Árbitro Assistente 2
25,Ilbert Estevam da Silva,Quarto Árbitro
25,Jose Antonio Chaves Franco Filho,Assessor
25,Rodolpho Toski Marques (VAR-FIFA),Árbitro de Vídeo
25,Andre da Silva Bitencourt,AVAR
25,Andre Luiz de Freitas Castro,Assistente de Árbitro de Vídeo 2
25,Anderson Carlos Goncalves,Observador de VAR
26,Ramon Abatti Abel (FIFA),Árbitro
26,Rodrigo Figueiredo Henrique Correa (FIFA),Árbitro Assistente 1
26,Kleber Lucio Gil,Árbitro Assistente 2
26,Murilo Francisco Misson Junior,Quarto Árbitro
26,Antonio Pereira da Silva,Assessor
26,Wagner Reway (VAR-FIFA),Árbitro de Vídeo
26,Herman Brumel Vani,AVAR
26,Paulo Renato Moreira da Silva Coelho,Assistente de Árbitro de Vídeo 2
26,Ednilson Corona,Observador de VAR
27,Rodrigo Jose Pereira de Lima,Árbitro
27,Luanderson Lima dos Santos (FIFA),Árbitro Assistente 1
27,Karla Renata Cavalcanti de Santana,Árbitro Assistente 2
27,Lucas Guimaraes Rechatiko Horn,Quarto Árbitro
27,Jose Henrique de Carvalho,Assessor
27,Rodrigo Guarizo Ferreira do Amaral (VAR-FIFA),Árbitro de Vídeo
27,Clovis Amaral da Silva,AVAR
27,Marco Aurelio Augusto Fazekas Ferreira,Assistente de Árbitro de Vídeo 2
27,Marcos Andre Gomes da Penha,Observador de VAR
28,Rafael Rodrigo Klein,Árbitro
28,Bruno Raphael Pires (FIFA),Árbitro Assistente 1
28,Mauricio Coelho Silva Penna,Árbitro Assistente 2
28,Murilo Ugolini Klein,Quarto Árbitro
28,Renato Cardoso da Conceicao,Assessor
28,Rodrigo D Alonso Ferreira,Árbitro de Vídeo
28,Diogo Carvalho Silva,AVAR
28,Alisson Sidnei Furtado,Assistente de Árbitro de Vídeo 2
28,Rodrigo Pereira Joia,Observador de VAR
29,Raphael Claus (FIFA),Árbitro
29,Danilo Ricardo Simon Manis (FIFA),Árbitro Assistente 1
29,Miguel Cataneo Ribeiro da Costa,Árbitro Assistente 2
29,Luiz Cesar de Oliveira Magalhaes,Quarto Árbitro
29,Erich Bartolomeu Antas E Silva Bandeira,Assessor
29,Thiago Duarte Peixoto,Árbitro de Vídeo
29,Fabricio Porfirio de Moura,AVAR
29,Heber Roberto Lopes,Assistente de Árbitro de Vídeo 2
29,Ricardo Marques Ribeiro,Observador de VAR
30,Bruno Arleu de Araujo (FIFA),Árbitro
30,Bruno Boschilia (FIFA),Árbitro Assistente 1
30,Carlos Henrique Alves de Lima Filho,Árbitro Assistente 2
30,Luiz Paulo de Moura Pinheiro,Quarto Árbitro
30,Antonio Rogerio Batista do Prado,Assessor
30,Rodrigo Nunes de Sa (VAR-FIFA),Árbitro de Vídeo
30,Helton Nunes,AVAR
30,Philip Georg Bennett,Assistente de Árbitro de Vídeo 2
30,Giulliano Bozzano,Observador de VAR
31,Wilton Pereira Sampaio (FIFA),Árbitro
31,Bruno Raphael Pires (FIFA),Árbitro Assistente 1
31,Leone Carvalho Rocha,Árbitro Assistente 2
31,Yuri Elino Ferreira da Cruz,Quarto Árbitro
31,Adriano de Carvalho,Assessor
31,Wagner Reway (VAR-FIFA),Árbitro de Vídeo
31,Cleriston Clay Barreto Rios,AVAR
31,Jose Ricardo Vasconcellos Laranjeira,Assistente de Árbitro de Vídeo 2
31,Ricardo Marques Ribeiro,Observador de VAR
32,Flavio Rodrigues de Souza (FIFA),Árbitro
32,Alex Ang Ribeiro (FIFA),Árbitro Assistente 1
32,Fabrini Bevilaqua Costa (FIFA),Árbitro Assistente 2
32,Grazianni Maciel Rocha,Quarto Árbitro
32,Carlos Augusto Nogueira Junior,Assessor
32,Rodolpho Toski Marques (VAR-FIFA),Árbitro de Vídeo
32,Luciano Roggenbaum,AVAR
32,Alisson Sidnei Furtado,Assistente de Árbitro de Vídeo 2
32,Marrubson Melo Freitas,Observador de VAR
33,Braulio da Silva Machado (FIFA),Árbitro
33,Bruno Boschilia (FIFA),Árbitro Assistente 1
33,Henrique Neu Ribeiro,Árbitro Assistente 2
33,Thiago Luis Scarascati,Quarto Árbitro
33,Sergio Cristiano Nascimento,Assessor
33,Igor Junio Benevenuto de Oliveira (VAR-FIFA),Árbitro de Vídeo
33,Ciro Chaban Junqueira,AVAR
33,Vinicius Gomes do Amaral,Assistente de Árbitro de Vídeo 2
33,Giulliano Bozzano,Observador de VAR
34,Ramon Abatti Abel (FIFA),Árbitro
34,Guilherme Dias Camilo (FIFA),Árbitro Assistente 1
34,Rafael da Silva Alves (FIFA),Árbitro Assistente 2
34,Vinicius Goncalves Dias Araujo,Quarto Árbitro
34,Antonio Pereira da Silva,Assessor
34,Rafael Traci (VAR-FIFA),Árbitro de Vídeo
34,Johnny Barros de Oliveira,AVAR
34,Paulo Renato Moreira da Silva Coelho,Assistente de Árbitro de Vídeo 2
34,Emerson Augusto de Carvalho,Observador de VAR
35,Wagner do Nascimento Magalhaes (FIFA),Árbitro
35,Kleber Lucio Gil,Árbitro Assistente 1
35,Thiago Henrique Neto Correa Farinha,Árbitro Assistente 2
35,Rubens Paulo Rodrigues dos Santos,Quarto Árbitro
35,Jose Antonio Chaves Franco Filho,Assessor
35,Rodrigo D Alonso Ferreira,Árbitro de Vídeo
35,Helton Nunes,AVAR
35,Philip Georg Bennett,Assistente de Árbitro de Vídeo 2
35,Rodrigo Pereira Joia,Observador de VAR
36,Bruno Arleu de Araujo (FIFA),Árbitro
36,Rodrigo Figueiredo Henrique Correa (FIFA),Árbitro Assistente 1
36,Michael Correia,Árbitro Assistente 2
36,Andre Luiz Skettino Policarpo Bento,Quarto Árbitro
36,Jose Mocellin,Assessor
36,Daniel Nobre Bins (VAR-FIFA),Árbitro de Vídeo
36,Fabricio Vilarinho da Silva (FIFA),AVAR
36,Marcelo de Lima Henrique,Assistente de Árbitro de Vídeo 2
36,Regildenia de Holanda Moura,Observador de VAR
37,Paulo Cesar Zanovelli da Silva (FIFA),Árbitro
37,Felipe Alan Costa de Oliveira,Árbitro Assistente 1
37,Marcyano da Silva Vicente,Árbitro Assistente 2
37,Roger Goulart,Quarto Árbitro
37,Simone Xavier de Paula E Silva,Assessor
37,Pablo Ramon Goncalves Pinheiro (VAR-FIFA),Árbitro de Vídeo
37,Flavio Gomes Barroca,AVAR
37,Diego Pombo Lopez,Assistente de Árbitro de Vídeo 2
37,Marcio Eustaquio Sousa Santiago,Observador de VAR
38,Raphael Claus (FIFA),Árbitro
38,Danilo Ricardo Simon Manis (FIFA),Árbitro Assistente 1
38,Marcelo Carvalho Van Gasse,Árbitro Assistente 2
38,Leonardo Ferreira Lima,Quarto Árbitro
38,Ana Karina Marques Valentin,Assessor
38,Thiago Duarte Peixoto,Árbitro de Vídeo
38,Fabricio Porfirio de Moura,AVAR
38,Matheus Delgado Candançan,Assistente de Árbitro de Vídeo 2
38,Pericles Bassols Pegado Cortez,Observador de VAR
