NPartida,Time,Camisa,Apelido,href
3,Cuiabá Saf - MT,9,PITTA,https://www.cbf.com.br/futebol-brasileiro/atletas/750089?exercicio=2023
3,Cuiabá Saf - MT,4,Marllon,https://www.cbf.com.br/futebol-brasileiro/atletas/299840?exercicio=2023
3,Cuiabá Saf - MT,10,Pablo Ceppelini Gatto,https://www.cbf.com.br/futebol-brasileiro/atletas/793589?exercicio=2023
3,Cuiabá Saf - MT,28,Rafael Gava,https://www.cbf.com.br/futebol-brasileiro/atletas/313001?exercicio=2023
3,Cuiabá Saf - MT,5,Filipe Augusto,https://www.cbf.com.br/futebol-brasileiro/atletas/307512?exercicio=2023
3,Cuiabá Saf - MT,98,Matheusinho,https://www.cbf.com.br/futebol-brasileiro/atletas/433799?exercicio=2023
3,Palmeiras - SP,42,Marcelo Lomba,https://www.cbf.com.br/futebol-brasileiro/atletas/157264?exercicio=2023
3,Palmeiras - SP,32,Gustavo Garcia,https://www.cbf.com.br/futebol-brasileiro/atletas/501573?exercicio=2023
3,Palmeiras - SP,40,Jhon Jhon,https://www.cbf.com.br/futebol-brasileiro/atletas/633579?exercicio=2023
3,Palmeiras - SP,51,Kaique,https://www.cbf.com.br/futebol-brasileiro/atletas/615363?exercicio=2023
3,Palmeiras - SP,17,Giovani,https://www.cbf.com.br/futebol-brasileiro/atletas/610031?exercicio=2023
3,Palmeiras - SP,34,Kaiky,https://www.cbf.com.br/futebol-brasileiro/atletas/554334?exercicio=2023
3,Palmeiras - SP,13,Luan Garcia,https://www.cbf.com.br/futebol-brasileiro/atletas/307406?exercicio=2023
3,Cuiabá Saf - MT,21,Joao Carlos,https://www.cbf.com.br/futebol-brasileiro/atletas/174755?exercicio=2023
3,Cuiabá Saf - MT,33,ALAN,https://www.cbf.com.br/futebol-brasileiro/atletas/706429?exercicio=2023
3,Cuiabá Saf - MT,30,JOÃO,https://www.cbf.com.br/futebol-brasileiro/atletas/640973?exercicio=2023
3,Cuiabá Saf - MT,26,Vinicius,https://www.cbf.com.br/futebol-brasileiro/atletas/508152?exercicio=2023
3,Cuiabá Saf - MT,8,Ronald,https://www.cbf.com.br/futebol-brasileiro/atletas/383384?exercicio=2023
3,Cuiabá Saf - MT,27,Denilson,https://www.cbf.com.br/futebol-brasileiro/atletas/524341?exercicio=2023
3,Cuiabá Saf - MT,3,Victor Matheus,https://www.cbf.com.br/futebol-brasileiro/atletas/529923?exercicio=2023
4,Corinthians - SP,12,Cássio,https://www.cbf.com.br/futebol-brasileiro/atletas/166276?exercicio=2023
4,Corinthians - SP,77,Chrystian,https://www.cbf.com.br/futebol-brasileiro/atletas/546794?exercicio=2023
4,Corinthians - SP,28,Adson,https://www.cbf.com.br/futebol-brasileiro/atletas/513472?exercicio=2023
4,Corinthians - SP,23,Fagner,https://www.cbf.com.br/futebol-brasileiro/atletas/177050?exercicio=2023
4,Corinthians - SP,21,Matheus Bidu,https://www.cbf.com.br/futebol-brasileiro/atletas/502230?exercicio=2023
4,Corinthians - SP,6,Fabio Santos,https://www.cbf.com.br/futebol-brasileiro/atletas/162248?exercicio=2023
4,Corinthians - SP,9,Yuri Alberto,https://www.cbf.com.br/futebol-brasileiro/atletas/436395?exercicio=2023
4,Corinthians - SP,5,Fausto,https://www.cbf.com.br/futebol-brasileiro/atletas/776923?exercicio=2023
4,Corinthians - SP,37,Eduardo Santos Queiroz,https://www.cbf.com.br/futebol-brasileiro/atletas/448892?exercicio=2023
4,Corinthians - SP,20,Giuliano,https://www.cbf.com.br/futebol-brasileiro/atletas/178486?exercicio=2023
